datetime,Open,High,Low,Close,Volume
2017-01-04 09:00:00+07:00,7.4,7.4,7.35,7.35,68200.0
2017-01-04 10:00:00+07:00,7.4,7.45,7.3,7.4,994900.0
2017-01-04 11:00:00+07:00,7.4,7.45,7.35,7.4,720700.0
2017-01-04 12:00:00+07:00,7.4,7.5,7.4,7.45,828900.0
2017-01-04 14:00:00+07:00,7.5,7.5,7.45,7.45,1161500.0
2017-01-04 15:00:00+07:00,7.45,7.5,7.45,7.45,924900.0
2017-01-04 16:00:00+07:00,7.45,7.5,7.45,7.45,1302000.0
2017-01-05 09:00:00+07:00,7.45,7.45,7.4,7.45,210000.0
2017-01-05 10:00:00+07:00,7.5,7.5,7.4,7.4,401100.0
2017-01-05 11:00:00+07:00,7.4,7.45,7.4,7.45,387600.0
2017-01-05 12:00:00+07:00,7.45,7.5,7.4,7.4,266200.0
2017-01-05 14:00:00+07:00,7.4,7.45,7.4,7.4,232100.0
2017-01-05 15:00:00+07:00,7.4,7.45,7.35,7.4,999500.0
2017-01-05 16:00:00+07:00,7.4,7.45,7.35,7.4,1270300.0
2017-01-06 09:00:00+07:00,7.4,7.4,7.4,7.4,31700.0
2017-01-06 10:00:00+07:00,7.35,7.4,7.35,7.35,190100.0
2017-01-06 11:00:00+07:00,7.4,7.4,7.3,7.3,1277700.0
2017-01-06 12:00:00+07:00,7.3,7.35,7.3,7.3,204600.0
2017-01-06 14:00:00+07:00,7.35,7.35,7.3,7.3,180000.0
2017-01-06 15:00:00+07:00,7.3,7.35,7.3,7.3,567800.0
2017-01-06 16:00:00+07:00,7.3,7.35,7.3,7.35,1661600.0
2017-01-09 09:00:00+07:00,7.3,7.3,7.3,7.3,2400.0
2017-01-09 10:00:00+07:00,7.3,7.35,7.3,7.35,648700.0
2017-01-09 11:00:00+07:00,7.3,7.4,7.3,7.35,420700.0
2017-01-09 12:00:00+07:00,7.35,7.4,7.35,7.35,334300.0
2017-01-09 14:00:00+07:00,7.35,7.4,7.3,7.3,895800.0
2017-01-09 15:00:00+07:00,7.3,7.35,7.3,7.35,840600.0
2017-01-09 16:00:00+07:00,7.3,7.3,7.25,7.3,778400.0
2017-01-10 09:00:00+07:00,7.35,7.35,7.35,7.35,19500.0
2017-01-10 10:00:00+07:00,7.35,7.35,7.3,7.35,136000.0
2017-01-10 11:00:00+07:00,7.3,7.35,7.3,7.35,853600.0
2017-01-10 12:00:00+07:00,7.3,7.35,7.3,7.35,384900.0
2017-01-10 14:00:00+07:00,7.4,7.45,7.4,7.45,1212300.0
2017-01-10 15:00:00+07:00,7.45,7.5,7.4,7.5,2460500.0
2017-01-10 16:00:00+07:00,7.5,7.5,7.45,7.45,1394600.0
2017-01-11 09:00:00+07:00,7.5,7.5,7.5,7.5,64700.0
2017-01-11 10:00:00+07:00,7.5,7.6,7.5,7.55,4118000.0
2017-01-11 11:00:00+07:00,7.6,7.75,7.55,7.7,8207600.0
2017-01-11 12:00:00+07:00,7.7,7.8,7.7,7.75,2688500.0
2017-01-11 14:00:00+07:00,7.75,7.8,7.7,7.7,4225400.0
2017-01-11 15:00:00+07:00,7.7,7.75,7.65,7.75,2190500.0
2017-01-11 16:00:00+07:00,7.7,7.8,7.65,7.75,7872300.0
2017-01-12 09:00:00+07:00,7.75,7.75,7.75,7.75,177200.0
2017-01-12 10:00:00+07:00,7.75,7.75,7.65,7.7,1422800.0
2017-01-12 11:00:00+07:00,7.65,7.65,7.6,7.6,657200.0
2017-01-12 12:00:00+07:00,7.65,7.75,7.6,7.75,3018500.0
2017-01-12 14:00:00+07:00,7.7,7.7,7.65,7.65,542300.0
2017-01-12 15:00:00+07:00,7.7,7.75,7.65,7.7,2129800.0
2017-01-12 16:00:00+07:00,7.7,7.75,7.7,7.7,6344000.0
2017-01-13 09:00:00+07:00,7.7,7.7,7.7,7.7,59600.0
2017-01-13 10:00:00+07:00,7.65,7.65,7.6,7.6,322700.0
2017-01-13 11:00:00+07:00,7.6,7.65,7.55,7.6,793100.0
2017-01-13 12:00:00+07:00,7.55,7.65,7.55,7.65,343300.0
2017-01-13 14:00:00+07:00,7.6,7.65,7.6,7.6,281600.0
2017-01-13 15:00:00+07:00,7.65,7.65,7.6,7.6,1548100.0
2017-01-13 16:00:00+07:00,7.6,7.65,7.55,7.65,1299100.0
2017-01-16 09:00:00+07:00,7.65,7.65,7.6,7.6,34700.0
2017-01-16 10:00:00+07:00,7.6,7.65,7.6,7.6,97300.0
2017-01-16 11:00:00+07:00,7.65,7.65,7.6,7.6,24900.0
2017-01-16 12:00:00+07:00,7.65,7.65,7.55,7.55,540500.0
2017-01-16 14:00:00+07:00,7.6,7.6,7.55,7.55,289300.0
2017-01-16 15:00:00+07:00,7.6,7.6,7.5,7.5,1005300.0
2017-01-16 16:00:00+07:00,7.5,7.6,7.5,7.55,1356200.0
2017-01-17 09:00:00+07:00,7.55,7.55,7.55,7.55,31600.0
2017-01-17 10:00:00+07:00,7.55,7.55,7.5,7.5,270100.0
2017-01-17 11:00:00+07:00,7.55,7.55,7.5,7.55,142000.0
2017-01-17 12:00:00+07:00,7.55,7.55,7.55,7.55,493300.0
2017-01-17 14:00:00+07:00,7.55,7.55,7.5,7.55,54000.0
2017-01-17 15:00:00+07:00,7.55,7.55,7.5,7.55,836800.0
2017-01-17 16:00:00+07:00,7.55,7.55,7.5,7.5,981800.0
2017-01-18 09:00:00+07:00,7.55,7.55,7.5,7.5,42600.0
2017-01-18 10:00:00+07:00,7.5,7.6,7.5,7.55,1045900.0
2017-01-18 11:00:00+07:00,7.6,7.6,7.55,7.6,1162800.0
2017-01-18 12:00:00+07:00,7.55,7.6,7.55,7.55,298400.0
2017-01-18 14:00:00+07:00,7.55,7.6,7.55,7.6,1352100.0
2017-01-18 15:00:00+07:00,7.55,7.6,7.55,7.55,2838000.0
2017-01-18 16:00:00+07:00,7.55,7.6,7.55,7.55,3926200.0
2017-01-19 09:00:00+07:00,7.5,7.5,7.5,7.5,22100.0
2017-01-19 10:00:00+07:00,7.5,7.55,7.45,7.5,756000.0
2017-01-19 11:00:00+07:00,7.5,7.55,7.45,7.45,986500.0
2017-01-19 12:00:00+07:00,7.45,7.5,7.45,7.5,152800.0
2017-01-19 14:00:00+07:00,7.45,7.5,7.4,7.4,1297000.0
2017-01-19 15:00:00+07:00,7.4,7.4,7.25,7.35,5519700.0
2017-01-19 16:00:00+07:00,7.35,7.35,7.25,7.3,2834100.0
2017-01-20 09:00:00+07:00,7.3,7.4,7.3,7.4,273600.0
2017-01-20 10:00:00+07:00,7.4,7.45,7.4,7.4,1086000.0
2017-01-20 11:00:00+07:00,7.4,7.4,7.4,7.4,482900.0
2017-01-20 12:00:00+07:00,7.4,7.4,7.4,7.4,533100.0
2017-01-20 14:00:00+07:00,7.4,7.4,7.35,7.35,724100.0
2017-01-20 15:00:00+07:00,7.35,7.4,7.35,7.4,436900.0
2017-01-20 16:00:00+07:00,7.4,7.45,7.4,7.4,931200.0
2017-01-23 09:00:00+07:00,7.4,7.4,7.4,7.4,3500.0
2017-01-23 10:00:00+07:00,7.4,7.45,7.4,7.45,707700.0
2017-01-23 11:00:00+07:00,7.4,7.5,7.4,7.5,725200.0
2017-01-23 12:00:00+07:00,7.5,7.5,7.45,7.45,6700.0
