datetime,Open,High,Low,Close,Volume
2021-02-11 09:00:00+07:00,26.5,27.0,25.0,25.25,78462200.0
2021-02-11 10:00:00+07:00,25.25,25.5,22.1,25.5,724843700.0
2021-02-11 11:00:00+07:00,25.5,27.25,24.8,27.25,305619900.0
2021-02-11 12:00:00+07:00,27.25,28.0,26.0,26.75,157415400.0
2021-02-11 14:00:00+07:00,26.75,29.0,26.75,29.0,221362500.0
2021-02-11 15:00:00+07:00,29.0,29.5,28.0,28.0,207610200.0
2021-02-11 16:00:00+07:00,28.25,29.25,28.0,29.25,122811600.0
2021-02-15 09:00:00+07:00,30.75,32.5,30.5,31.5,120561500.0
2021-02-15 10:00:00+07:00,31.5,36.5,31.25,35.0,505370700.0
2021-02-15 11:00:00+07:00,35.25,35.25,34.5,35.0,97495100.0
2021-02-15 12:00:00+07:00,35.0,35.25,34.75,35.0,23982300.0
2021-02-15 14:00:00+07:00,35.0,35.5,34.5,34.75,129736400.0
2021-02-15 15:00:00+07:00,34.75,34.75,33.25,33.75,173166500.0
2021-02-15 16:00:00+07:00,33.5,34.5,33.5,34.0,99369700.0
2021-02-16 10:00:00+07:00,35.0,35.0,32.0,32.5,267704400.0
2021-02-16 11:00:00+07:00,32.5,33.0,32.5,32.75,15966200.0
2021-02-16 12:00:00+07:00,32.75,33.0,32.5,32.75,17967600.0
2021-02-16 14:00:00+07:00,32.5,33.25,32.25,33.0,44807900.0
2021-02-16 15:00:00+07:00,33.25,33.5,32.75,33.0,56081600.0
2021-02-16 16:00:00+07:00,32.75,33.0,32.25,32.75,76849400.0
2021-02-17 09:00:00+07:00,31.5,31.75,31.25,31.5,16148900.0
2021-02-17 10:00:00+07:00,31.5,32.5,31.25,31.25,88939500.0
2021-02-17 11:00:00+07:00,31.25,31.75,31.0,31.5,26368400.0
2021-02-17 12:00:00+07:00,31.5,31.5,31.25,31.5,6322000.0
2021-02-17 14:00:00+07:00,31.5,31.75,31.0,31.5,39457500.0
2021-02-17 15:00:00+07:00,31.5,31.5,30.5,30.5,81379700.0
2021-02-17 16:00:00+07:00,30.5,30.75,29.5,29.5,79769400.0
2021-02-18 09:00:00+07:00,30.25,30.5,30.0,30.5,11939200.0
2021-02-18 10:00:00+07:00,30.25,31.5,30.25,30.75,124081100.0
2021-02-18 11:00:00+07:00,31.0,31.0,30.0,30.25,32140900.0
2021-02-18 12:00:00+07:00,30.0,30.25,29.75,30.0,14207800.0
2021-02-18 14:00:00+07:00,30.0,30.25,29.75,29.75,21072900.0
2021-02-18 15:00:00+07:00,30.0,30.75,29.75,30.5,50162300.0
2021-02-18 16:00:00+07:00,30.75,30.75,30.25,30.25,27340900.0
2021-02-19 09:00:00+07:00,31.0,31.25,30.5,30.75,17129700.0
2021-02-19 10:00:00+07:00,31.0,31.0,30.0,30.25,34969300.0
2021-02-19 11:00:00+07:00,30.5,30.5,30.0,30.5,19752500.0
2021-02-19 12:00:00+07:00,30.25,31.25,30.25,31.0,50615300.0
2021-02-19 14:00:00+07:00,31.5,31.5,30.75,30.75,37941300.0
2021-02-19 15:00:00+07:00,31.0,31.25,30.75,31.0,29199500.0
2021-02-19 16:00:00+07:00,31.0,31.5,30.75,31.5,31668700.0
2021-02-22 09:00:00+07:00,32.25,32.25,32.25,32.25,11049000.0
2021-02-22 10:00:00+07:00,32.25,32.5,31.75,31.75,59691300.0
2021-02-22 11:00:00+07:00,31.75,32.0,31.5,31.75,18897700.0
2021-02-22 12:00:00+07:00,32.0,32.25,31.75,32.25,22332200.0
2021-02-22 14:00:00+07:00,32.0,32.0,31.5,31.75,15052400.0
2021-02-22 15:00:00+07:00,31.5,31.75,31.25,31.5,27577000.0
2021-02-22 16:00:00+07:00,31.5,32.0,31.5,31.75,20780500.0
2021-02-23 09:00:00+07:00,32.0,32.25,31.75,32.0,10513400.0
2021-02-23 10:00:00+07:00,32.0,32.0,31.5,32.0,55813100.0
