datetime,Open,High,Low,Close,Volume
2023-05-22 09:57:00+07:00,3.74,3.74,3.74,3.74,225800.0
2023-05-22 09:58:00+07:00,3.72,3.72,3.72,3.72,200.0
2023-05-22 10:00:00+07:00,3.72,3.72,3.7,3.7,136800.0
2023-05-22 10:01:00+07:00,3.68,3.68,3.68,3.68,200.0
2023-05-22 10:02:00+07:00,3.68,3.68,3.68,3.68,6700.0
2023-05-22 10:03:00+07:00,3.68,3.68,3.68,3.68,17500.0
2023-05-22 10:04:00+07:00,3.68,3.68,3.66,3.66,430300.0
2023-05-22 10:05:00+07:00,3.66,3.66,3.66,3.66,51100.0
2023-05-22 10:06:00+07:00,3.66,3.66,3.64,3.66,27700.0
2023-05-22 10:07:00+07:00,3.66,3.66,3.64,3.64,21800.0
2023-05-22 10:08:00+07:00,3.64,3.64,3.62,3.62,67600.0
2023-05-22 10:09:00+07:00,3.62,3.62,3.62,3.62,35900.0
2023-05-22 10:11:00+07:00,3.62,3.62,3.6,3.6,208400.0
2023-05-22 10:13:00+07:00,3.6,3.6,3.6,3.6,13100.0
2023-05-22 10:14:00+07:00,3.6,3.6,3.6,3.6,102400.0
2023-05-22 10:15:00+07:00,3.6,3.6,3.54,3.54,543700.0
2023-05-22 10:16:00+07:00,3.54,3.56,3.54,3.56,79800.0
2023-05-22 10:18:00+07:00,3.54,3.54,3.54,3.54,80000.0
2023-05-22 10:19:00+07:00,3.54,3.54,3.54,3.54,15000.0
2023-05-22 10:20:00+07:00,3.54,3.54,3.54,3.54,81700.0
2023-05-22 10:21:00+07:00,3.52,3.52,3.52,3.52,62800.0
2023-05-22 10:22:00+07:00,3.54,3.54,3.52,3.52,38600.0
2023-05-22 10:23:00+07:00,3.52,3.54,3.52,3.54,212000.0
2023-05-22 10:24:00+07:00,3.54,3.54,3.54,3.54,1000.0
2023-05-22 10:25:00+07:00,3.54,3.54,3.54,3.54,2000.0
2023-05-22 10:26:00+07:00,3.54,3.54,3.54,3.54,700.0
2023-05-22 10:27:00+07:00,3.54,3.54,3.54,3.54,472500.0
2023-05-22 10:28:00+07:00,3.56,3.56,3.56,3.56,21100.0
2023-05-22 10:29:00+07:00,3.56,3.56,3.56,3.56,347300.0
2023-05-22 10:30:00+07:00,3.56,3.56,3.54,3.56,20900.0
2023-05-22 10:32:00+07:00,3.54,3.54,3.54,3.54,332800.0
2023-05-22 10:33:00+07:00,3.52,3.52,3.52,3.52,618000.0
2023-05-22 10:34:00+07:00,3.5,3.52,3.5,3.52,231000.0
2023-05-22 10:36:00+07:00,3.52,3.54,3.52,3.54,15100.0
2023-05-22 10:37:00+07:00,3.54,3.54,3.54,3.54,5000.0
2023-05-22 10:38:00+07:00,3.54,3.54,3.54,3.54,15100.0
2023-05-22 10:39:00+07:00,3.54,3.56,3.54,3.56,461800.0
2023-05-22 10:40:00+07:00,3.56,3.56,3.56,3.56,1000.0
2023-05-22 10:41:00+07:00,3.56,3.56,3.56,3.56,200.0
2023-05-22 10:43:00+07:00,3.54,3.54,3.54,3.54,120000.0
2023-05-22 10:44:00+07:00,3.54,3.54,3.54,3.54,50000.0
2023-05-22 10:45:00+07:00,3.56,3.56,3.56,3.56,500.0
2023-05-22 10:46:00+07:00,3.54,3.54,3.54,3.54,100.0
2023-05-22 10:47:00+07:00,3.54,3.54,3.54,3.54,63400.0
2023-05-22 10:48:00+07:00,3.52,3.54,3.52,3.54,10100.0
2023-05-22 10:49:00+07:00,3.54,3.54,3.54,3.54,14200.0
2023-05-22 10:50:00+07:00,3.54,3.54,3.52,3.54,20200.0
2023-05-22 10:51:00+07:00,3.52,3.54,3.52,3.54,129100.0
2023-05-22 10:52:00+07:00,3.56,3.56,3.54,3.54,40500.0
2023-05-22 10:53:00+07:00,3.56,3.56,3.54,3.54,1100.0
2023-05-22 10:54:00+07:00,3.54,3.54,3.54,3.54,52400.0
2023-05-22 10:55:00+07:00,3.54,3.54,3.54,3.54,221200.0
2023-05-22 10:56:00+07:00,3.54,3.54,3.52,3.54,327800.0
2023-05-22 10:57:00+07:00,3.54,3.54,3.54,3.54,244300.0
2023-05-22 10:58:00+07:00,3.54,3.54,3.54,3.54,100.0
2023-05-22 11:00:00+07:00,3.54,3.54,3.54,3.54,3800.0
2023-05-22 11:02:00+07:00,3.56,3.56,3.56,3.56,100.0
2023-05-22 11:03:00+07:00,3.56,3.56,3.56,3.56,5100.0
2023-05-22 11:06:00+07:00,3.56,3.56,3.56,3.56,2000.0
2023-05-22 11:07:00+07:00,3.56,3.56,3.56,3.56,500.0
2023-05-22 11:09:00+07:00,3.56,3.56,3.56,3.56,4000.0
2023-05-22 11:10:00+07:00,3.54,3.56,3.54,3.56,600100.0
2023-05-22 11:11:00+07:00,3.56,3.56,3.56,3.56,25000.0
2023-05-22 11:12:00+07:00,3.56,3.58,3.56,3.58,15200.0
2023-05-22 11:14:00+07:00,3.56,3.56,3.56,3.56,195500.0
2023-05-22 11:15:00+07:00,3.56,3.56,3.56,3.56,52100.0
2023-05-22 11:16:00+07:00,3.54,3.54,3.54,3.54,2800.0
2023-05-22 11:17:00+07:00,3.56,3.56,3.54,3.54,41900.0
2023-05-22 11:18:00+07:00,3.56,3.56,3.56,3.56,9900.0
2023-05-22 11:19:00+07:00,3.56,3.56,3.56,3.56,3500.0
2023-05-22 11:20:00+07:00,3.56,3.56,3.56,3.56,1000.0
2023-05-22 11:22:00+07:00,3.56,3.56,3.56,3.56,2400.0
2023-05-22 11:24:00+07:00,3.56,3.56,3.56,3.56,2000.0
2023-05-22 11:25:00+07:00,3.56,3.56,3.56,3.56,500.0
2023-05-22 11:27:00+07:00,3.56,3.56,3.56,3.56,2300.0
2023-05-22 11:29:00+07:00,3.54,3.56,3.54,3.56,30000.0
2023-05-22 11:30:00+07:00,3.56,3.56,3.56,3.56,100.0
2023-05-22 11:31:00+07:00,3.56,3.56,3.56,3.56,3000.0
2023-05-22 11:35:00+07:00,3.56,3.56,3.56,3.56,300.0
2023-05-22 11:37:00+07:00,3.54,3.54,3.54,3.54,10000.0
2023-05-22 11:38:00+07:00,3.54,3.56,3.54,3.54,11600.0
2023-05-22 11:39:00+07:00,3.54,3.54,3.54,3.54,220200.0
2023-05-22 11:40:00+07:00,3.54,3.54,3.54,3.54,1800.0
2023-05-22 11:41:00+07:00,3.54,3.54,3.52,3.52,404400.0
2023-05-22 11:47:00+07:00,3.54,3.54,3.52,3.52,1200.0
2023-05-22 11:48:00+07:00,3.54,3.54,3.54,3.54,1000.0
2023-05-22 11:49:00+07:00,3.54,3.54,3.54,3.54,2000.0
2023-05-22 11:50:00+07:00,3.54,3.54,3.54,3.54,15000.0
2023-05-22 11:52:00+07:00,3.54,3.54,3.54,3.54,7000.0
2023-05-22 11:53:00+07:00,3.54,3.54,3.54,3.54,300.0
2023-05-22 11:54:00+07:00,3.52,3.54,3.52,3.54,5100.0
2023-05-22 11:55:00+07:00,3.54,3.54,3.54,3.54,200.0
2023-05-22 11:56:00+07:00,3.54,3.54,3.54,3.54,200.0
2023-05-22 11:58:00+07:00,3.54,3.54,3.52,3.52,109800.0
2023-05-22 12:01:00+07:00,3.54,3.54,3.54,3.54,266700.0
2023-05-22 12:04:00+07:00,3.56,3.56,3.56,3.56,620600.0
2023-05-22 12:05:00+07:00,3.58,3.58,3.56,3.56,333100.0
2023-05-22 12:06:00+07:00,3.56,3.56,3.56,3.56,162000.0
2023-05-22 12:07:00+07:00,3.58,3.58,3.58,3.58,500.0
2023-05-22 12:08:00+07:00,3.58,3.58,3.58,3.58,100.0
2023-05-22 12:10:00+07:00,3.58,3.58,3.58,3.58,1000.0
2023-05-22 12:12:00+07:00,3.58,3.58,3.58,3.58,500.0
2023-05-22 12:13:00+07:00,3.56,3.56,3.56,3.56,400.0
2023-05-22 12:15:00+07:00,3.58,3.58,3.58,3.58,20100.0
2023-05-22 12:17:00+07:00,3.58,3.58,3.58,3.58,36000.0
2023-05-22 12:22:00+07:00,3.58,3.58,3.58,3.58,100.0
2023-05-22 12:25:00+07:00,3.58,3.58,3.58,3.58,491800.0
2023-05-22 12:26:00+07:00,3.58,3.58,3.58,3.58,60500.0
2023-05-22 12:28:00+07:00,3.58,3.58,3.56,3.58,28700.0
2023-05-22 12:29:00+07:00,3.58,3.58,3.58,3.58,1100.0
2023-05-22 14:26:00+07:00,3.58,3.58,3.58,3.58,75200.0
2023-05-22 14:27:00+07:00,3.58,3.58,3.58,3.58,1500.0
2023-05-22 14:30:00+07:00,3.58,3.58,3.58,3.58,500.0
2023-05-22 14:31:00+07:00,3.58,3.58,3.58,3.58,100.0
2023-05-22 14:32:00+07:00,3.56,3.58,3.56,3.56,224900.0
2023-05-22 14:34:00+07:00,3.56,3.56,3.56,3.56,100.0
2023-05-22 14:37:00+07:00,3.56,3.56,3.56,3.56,28400.0
2023-05-22 14:38:00+07:00,3.56,3.56,3.56,3.56,200.0
2023-05-22 14:39:00+07:00,3.56,3.56,3.56,3.56,172000.0
2023-05-22 14:40:00+07:00,3.58,3.58,3.58,3.58,17000.0
2023-05-22 14:41:00+07:00,3.58,3.58,3.58,3.58,49900.0
2023-05-22 14:42:00+07:00,3.58,3.58,3.58,3.58,4000.0
2023-05-22 14:43:00+07:00,3.58,3.58,3.56,3.56,11700.0
2023-05-22 14:44:00+07:00,3.58,3.58,3.56,3.56,234100.0
2023-05-22 14:45:00+07:00,3.54,3.54,3.54,3.54,400.0
2023-05-22 14:46:00+07:00,3.54,3.56,3.54,3.56,24100.0
2023-05-22 14:47:00+07:00,3.56,3.56,3.56,3.56,20100.0
2023-05-22 14:48:00+07:00,3.56,3.56,3.54,3.56,40500.0
2023-05-22 14:49:00+07:00,3.56,3.56,3.56,3.56,5200.0
2023-05-22 14:50:00+07:00,3.56,3.56,3.56,3.56,31300.0
2023-05-22 14:51:00+07:00,3.56,3.56,3.56,3.56,86200.0
2023-05-22 14:53:00+07:00,3.56,3.56,3.56,3.56,166600.0
2023-05-22 14:54:00+07:00,3.56,3.56,3.56,3.56,83500.0
2023-05-22 14:59:00+07:00,3.56,3.56,3.56,3.56,58300.0
2023-05-22 15:00:00+07:00,3.56,3.56,3.56,3.56,100.0
2023-05-22 15:02:00+07:00,3.56,3.56,3.56,3.56,700.0
2023-05-22 15:03:00+07:00,3.54,3.54,3.54,3.54,24000.0
2023-05-22 15:04:00+07:00,3.56,3.56,3.56,3.56,300.0
2023-05-22 15:06:00+07:00,3.54,3.54,3.54,3.54,50000.0
2023-05-22 15:07:00+07:00,3.56,3.56,3.54,3.54,116700.0
2023-05-22 15:08:00+07:00,3.54,3.54,3.54,3.54,100000.0
2023-05-22 15:10:00+07:00,3.54,3.54,3.54,3.54,190000.0
2023-05-22 15:11:00+07:00,3.52,3.52,3.52,3.52,899100.0
2023-05-22 15:12:00+07:00,3.52,3.52,3.52,3.52,16400.0
2023-05-22 15:13:00+07:00,3.52,3.52,3.52,3.52,207400.0
2023-05-22 15:14:00+07:00,3.52,3.52,3.52,3.52,10400.0
2023-05-22 15:15:00+07:00,3.5,3.52,3.5,3.52,8500.0
2023-05-22 15:16:00+07:00,3.52,3.52,3.52,3.52,12400.0
2023-05-22 15:17:00+07:00,3.52,3.52,3.52,3.52,92700.0
2023-05-22 15:18:00+07:00,3.52,3.52,3.52,3.52,150700.0
2023-05-22 15:19:00+07:00,3.52,3.52,3.52,3.52,91300.0
2023-05-22 15:21:00+07:00,3.52,3.52,3.52,3.52,105500.0
2023-05-22 15:22:00+07:00,3.52,3.52,3.5,3.52,39900.0
2023-05-22 15:23:00+07:00,3.5,3.52,3.5,3.52,3300.0
2023-05-22 15:24:00+07:00,3.5,3.5,3.48,3.48,867400.0
2023-05-22 15:25:00+07:00,3.5,3.5,3.5,3.5,4000.0
2023-05-22 15:26:00+07:00,3.5,3.5,3.5,3.5,12100.0
2023-05-22 15:27:00+07:00,3.5,3.5,3.5,3.5,153000.0
2023-05-22 15:28:00+07:00,3.5,3.5,3.5,3.5,500.0
2023-05-22 15:29:00+07:00,3.5,3.5,3.5,3.5,50000.0
2023-05-22 15:32:00+07:00,3.5,3.5,3.5,3.5,229300.0
2023-05-22 15:33:00+07:00,3.5,3.5,3.5,3.5,300.0
2023-05-22 15:35:00+07:00,3.5,3.5,3.5,3.5,6200.0
2023-05-22 15:36:00+07:00,3.5,3.5,3.5,3.5,29900.0
2023-05-22 15:37:00+07:00,3.5,3.5,3.5,3.5,12300.0
2023-05-22 15:38:00+07:00,3.5,3.5,3.48,3.48,10600.0
2023-05-22 15:39:00+07:00,3.5,3.5,3.48,3.5,20000.0
2023-05-22 15:40:00+07:00,3.5,3.5,3.48,3.48,126500.0
2023-05-22 15:41:00+07:00,3.5,3.5,3.48,3.5,21500.0
2023-05-22 15:42:00+07:00,3.5,3.5,3.5,3.5,10700.0
2023-05-22 15:43:00+07:00,3.5,3.5,3.48,3.5,14000.0
2023-05-22 15:44:00+07:00,3.5,3.5,3.5,3.5,278500.0
2023-05-22 15:45:00+07:00,3.5,3.5,3.5,3.5,90800.0
2023-05-22 15:46:00+07:00,3.5,3.52,3.5,3.5,114200.0
2023-05-22 15:47:00+07:00,3.52,3.52,3.5,3.5,12300.0
2023-05-22 15:50:00+07:00,3.5,3.5,3.5,3.5,55900.0
2023-05-22 15:52:00+07:00,3.52,3.52,3.52,3.52,100000.0
2023-05-22 15:53:00+07:00,3.52,3.52,3.52,3.52,22000.0
2023-05-22 15:54:00+07:00,3.52,3.52,3.52,3.52,5800.0
2023-05-22 15:55:00+07:00,3.52,3.52,3.52,3.52,172600.0
2023-05-22 15:56:00+07:00,3.52,3.52,3.52,3.52,1100.0
2023-05-22 15:57:00+07:00,3.52,3.54,3.52,3.54,43800.0
2023-05-22 15:58:00+07:00,3.52,3.52,3.52,3.52,200.0
2023-05-22 16:02:00+07:00,3.52,3.54,3.52,3.54,300.0
2023-05-22 16:05:00+07:00,3.52,3.52,3.52,3.52,50000.0
2023-05-22 16:06:00+07:00,3.52,3.54,3.52,3.54,200.0
2023-05-22 16:11:00+07:00,3.52,3.52,3.52,3.52,1000.0
2023-05-22 16:12:00+07:00,3.52,3.52,3.52,3.52,50000.0
2023-05-22 16:13:00+07:00,3.52,3.52,3.52,3.52,245200.0
2023-05-22 16:14:00+07:00,3.52,3.52,3.52,3.52,300.0
2023-05-22 16:15:00+07:00,3.52,3.52,3.52,3.52,4000.0
2023-05-22 16:16:00+07:00,3.52,3.52,3.5,3.52,618200.0
2023-05-22 16:17:00+07:00,3.52,3.52,3.5,3.52,15400.0
2023-05-22 16:19:00+07:00,3.52,3.52,3.52,3.52,1000.0
2023-05-22 16:20:00+07:00,3.5,3.52,3.5,3.5,252500.0
2023-05-22 16:21:00+07:00,3.5,3.5,3.5,3.5,149900.0
2023-05-22 16:22:00+07:00,3.52,3.52,3.52,3.52,100.0
2023-05-22 16:23:00+07:00,3.52,3.52,3.48,3.5,1032700.0
2023-05-22 16:24:00+07:00,3.5,3.5,3.46,3.48,555400.0
2023-05-22 16:25:00+07:00,3.48,3.48,3.44,3.46,502900.0
2023-05-22 16:26:00+07:00,3.46,3.46,3.42,3.44,192000.0
2023-05-22 16:27:00+07:00,3.44,3.44,3.4,3.4,1340800.0
2023-05-22 16:28:00+07:00,3.4,3.42,3.4,3.4,1441200.0
2023-05-22 16:29:00+07:00,3.4,3.4,3.4,3.4,409000.0
2023-05-22 16:38:00+07:00,3.42,3.42,3.42,3.42,1459000.0
2023-05-23 09:57:00+07:00,3.42,3.42,3.42,3.42,119800.0
2023-05-23 09:58:00+07:00,3.44,3.46,3.44,3.46,16100.0
2023-05-23 09:59:00+07:00,3.46,3.46,3.44,3.44,86400.0
2023-05-23 10:00:00+07:00,3.44,3.44,3.44,3.44,62800.0
2023-05-23 10:01:00+07:00,3.44,3.44,3.44,3.44,17000.0
2023-05-23 10:02:00+07:00,3.44,3.44,3.44,3.44,6700.0
2023-05-23 10:03:00+07:00,3.44,3.44,3.44,3.44,7000.0
2023-05-23 10:04:00+07:00,3.44,3.44,3.44,3.44,10400.0
2023-05-23 10:05:00+07:00,3.44,3.44,3.44,3.44,12600.0
2023-05-23 10:06:00+07:00,3.46,3.46,3.44,3.46,6600.0
2023-05-23 10:07:00+07:00,3.44,3.46,3.44,3.46,5900.0
2023-05-23 10:08:00+07:00,3.46,3.46,3.44,3.46,120800.0
2023-05-23 10:09:00+07:00,3.46,3.46,3.46,3.46,2700.0
2023-05-23 10:10:00+07:00,3.46,3.46,3.46,3.46,900.0
2023-05-23 10:11:00+07:00,3.46,3.46,3.46,3.46,12200.0
2023-05-23 10:12:00+07:00,3.46,3.46,3.46,3.46,15300.0
2023-05-23 10:13:00+07:00,3.46,3.46,3.44,3.44,194400.0
2023-05-23 10:14:00+07:00,3.44,3.44,3.44,3.44,13100.0
2023-05-23 10:15:00+07:00,3.44,3.44,3.44,3.44,128100.0
2023-05-23 10:16:00+07:00,3.46,3.46,3.46,3.46,600.0
2023-05-23 10:17:00+07:00,3.46,3.46,3.44,3.44,4000.0
2023-05-23 10:18:00+07:00,3.46,3.46,3.44,3.46,2400.0
2023-05-23 10:19:00+07:00,3.46,3.46,3.46,3.46,600.0
2023-05-23 10:20:00+07:00,3.46,3.46,3.46,3.46,5800.0
2023-05-23 10:21:00+07:00,3.46,3.46,3.46,3.46,2500.0
2023-05-23 10:22:00+07:00,3.46,3.46,3.46,3.46,7500.0
2023-05-23 10:23:00+07:00,3.46,3.46,3.46,3.46,182800.0
2023-05-23 10:24:00+07:00,3.48,3.48,3.46,3.46,21500.0
2023-05-23 10:25:00+07:00,3.46,3.46,3.46,3.46,2000.0
2023-05-23 10:28:00+07:00,3.48,3.48,3.48,3.48,400.0
2023-05-23 10:30:00+07:00,3.48,3.48,3.48,3.48,2100.0
2023-05-23 10:31:00+07:00,3.48,3.48,3.46,3.46,26000.0
2023-05-23 10:32:00+07:00,3.46,3.48,3.46,3.46,115200.0
2023-05-23 10:33:00+07:00,3.46,3.46,3.46,3.46,1900.0
2023-05-23 10:35:00+07:00,3.46,3.46,3.46,3.46,1200.0
2023-05-23 10:38:00+07:00,3.46,3.46,3.46,3.46,11500.0
2023-05-23 10:39:00+07:00,3.46,3.46,3.46,3.46,1900.0
2023-05-23 10:40:00+07:00,3.46,3.46,3.46,3.46,26300.0
2023-05-23 10:41:00+07:00,3.46,3.48,3.46,3.48,800.0
2023-05-23 10:42:00+07:00,3.46,3.46,3.46,3.46,120100.0
2023-05-23 10:43:00+07:00,3.46,3.46,3.46,3.46,4300.0
2023-05-23 10:44:00+07:00,3.46,3.46,3.46,3.46,900.0
2023-05-23 10:45:00+07:00,3.46,3.46,3.46,3.46,1800.0
2023-05-23 10:46:00+07:00,3.44,3.44,3.44,3.44,185200.0
2023-05-23 10:47:00+07:00,3.44,3.44,3.44,3.44,1100.0
