datetime,Open,High,Low,Close,Volume
2023-07-10 09:56:00+07:00,46.75,47.0,46.75,47.0,273500.0
2023-07-10 09:57:00+07:00,47.0,47.0,47.0,47.0,24500.0
2023-07-10 09:58:00+07:00,47.0,47.0,47.0,47.0,2000.0
2023-07-10 09:59:00+07:00,47.0,47.0,47.0,47.0,6000.0
2023-07-10 10:00:00+07:00,47.0,47.0,47.0,47.0,4100.0
2023-07-10 10:01:00+07:00,47.0,47.0,47.0,47.0,353400.0
2023-07-10 10:02:00+07:00,47.0,47.0,47.0,47.0,31800.0
2023-07-10 10:03:00+07:00,47.0,47.0,47.0,47.0,102700.0
2023-07-10 10:05:00+07:00,47.0,47.0,46.75,46.75,91500.0
2023-07-10 10:06:00+07:00,46.75,46.75,46.75,46.75,300.0
2023-07-10 10:07:00+07:00,46.5,46.75,46.5,46.5,157900.0
2023-07-10 10:09:00+07:00,46.5,46.5,46.5,46.5,100.0
2023-07-10 10:10:00+07:00,46.5,46.5,46.5,46.5,5100.0
2023-07-10 10:11:00+07:00,46.5,46.5,46.5,46.5,500.0
2023-07-10 10:12:00+07:00,46.5,46.5,46.5,46.5,300.0
2023-07-10 10:13:00+07:00,46.5,46.5,46.5,46.5,600.0
2023-07-10 10:14:00+07:00,46.5,46.5,46.25,46.25,120500.0
2023-07-10 10:15:00+07:00,46.0,46.0,46.0,46.0,3800.0
2023-07-10 10:16:00+07:00,46.25,46.25,46.0,46.25,252800.0
2023-07-10 10:17:00+07:00,46.25,46.25,46.25,46.25,227700.0
2023-07-10 10:18:00+07:00,46.5,46.5,46.5,46.5,381100.0
2023-07-10 10:19:00+07:00,46.5,46.75,46.5,46.75,3800.0
2023-07-10 10:21:00+07:00,46.5,46.5,46.5,46.5,6600.0
2023-07-10 10:22:00+07:00,46.5,46.5,46.5,46.5,109800.0
2023-07-10 10:23:00+07:00,46.5,46.5,46.5,46.5,17000.0
2023-07-10 10:24:00+07:00,46.5,46.5,46.5,46.5,800.0
2023-07-10 10:25:00+07:00,46.5,46.75,46.5,46.75,700.0
2023-07-10 10:26:00+07:00,46.75,46.75,46.75,46.75,1400.0
2023-07-10 10:28:00+07:00,46.75,46.75,46.75,46.75,1600.0
2023-07-10 10:29:00+07:00,46.75,46.75,46.75,46.75,200.0
2023-07-10 10:30:00+07:00,46.75,46.75,46.5,46.5,163700.0
2023-07-10 10:34:00+07:00,46.25,46.5,46.25,46.25,3300.0
2023-07-10 10:35:00+07:00,46.25,46.5,46.25,46.25,29100.0
2023-07-10 10:36:00+07:00,46.25,46.25,46.25,46.25,500.0
2023-07-10 10:37:00+07:00,46.5,46.5,46.5,46.5,700.0
2023-07-10 10:38:00+07:00,46.25,46.75,46.25,46.75,225600.0
2023-07-10 10:39:00+07:00,46.75,46.75,46.5,46.75,3400.0
2023-07-10 10:40:00+07:00,46.75,46.75,46.75,46.75,300.0
2023-07-10 10:41:00+07:00,46.5,46.5,46.25,46.5,135200.0
2023-07-10 10:42:00+07:00,46.5,46.5,46.5,46.5,100.0
2023-07-10 10:43:00+07:00,46.25,46.25,46.25,46.25,20000.0
2023-07-10 10:44:00+07:00,46.5,46.75,46.5,46.75,152600.0
2023-07-10 10:45:00+07:00,46.75,46.75,46.5,46.75,42600.0
2023-07-10 10:46:00+07:00,46.75,46.75,46.75,46.75,3800.0
2023-07-10 10:47:00+07:00,46.75,46.75,46.75,46.75,1600.0
2023-07-10 10:48:00+07:00,46.75,46.75,46.75,46.75,1100.0
2023-07-10 10:49:00+07:00,46.75,46.75,46.75,46.75,1900.0
2023-07-10 10:50:00+07:00,46.75,46.75,46.75,46.75,2000.0
2023-07-10 10:51:00+07:00,46.75,46.75,46.75,46.75,2500.0
2023-07-10 10:52:00+07:00,46.75,46.75,46.75,46.75,1000.0
2023-07-10 10:53:00+07:00,46.75,46.75,46.75,46.75,1900.0
2023-07-10 10:54:00+07:00,46.75,46.75,46.75,46.75,2100.0
2023-07-10 10:55:00+07:00,46.75,46.75,46.5,46.5,17500.0
2023-07-10 10:56:00+07:00,46.75,46.75,46.5,46.75,3700.0
2023-07-10 10:57:00+07:00,46.75,46.75,46.5,46.5,1900.0
2023-07-10 10:58:00+07:00,46.5,46.75,46.5,46.5,3700.0
2023-07-10 10:59:00+07:00,46.75,46.75,46.5,46.75,3700.0
2023-07-10 11:00:00+07:00,46.75,46.75,46.75,46.75,2400.0
