datetime,Open,High,Low,Close,Volume
2019-11-13 09:00:00+07:00,4.5,5.05,4.48,4.76,912270400.0
2019-11-13 13:00:00+07:00,4.76,4.78,4.54,4.64,276483500.0
2019-11-14 09:00:00+07:00,4.68,4.74,4.54,4.6,110634900.0
2019-11-14 13:00:00+07:00,4.6,4.62,4.24,4.28,108674100.0
2019-11-15 09:00:00+07:00,4.34,4.36,3.98,4.16,90758200.0
2019-11-15 13:00:00+07:00,4.14,4.2,4.06,4.2,48012500.0
2019-11-18 09:00:00+07:00,4.3,4.48,4.26,4.44,71102600.0
2019-11-18 13:00:00+07:00,4.46,4.54,4.4,4.54,74168500.0
2019-11-19 09:00:00+07:00,4.5,4.64,4.44,4.6,64497200.0
2019-11-19 13:00:00+07:00,4.6,4.64,4.54,4.64,42477000.0
2019-11-20 09:00:00+07:00,4.6,4.68,4.6,4.64,39364000.0
2019-11-20 13:00:00+07:00,4.64,4.66,4.54,4.58,41349500.0
2019-11-21 09:00:00+07:00,4.58,4.66,4.58,4.6,22343800.0
2019-11-21 13:00:00+07:00,4.62,4.64,4.58,4.64,33822900.0
2019-11-22 09:00:00+07:00,4.7,4.72,4.6,4.62,46942600.0
2019-11-22 13:00:00+07:00,4.62,4.62,4.48,4.48,25456800.0
2019-11-25 09:00:00+07:00,4.46,4.46,4.34,4.4,30281800.0
2019-11-25 13:00:00+07:00,4.4,4.46,4.4,4.46,16857900.0
2019-11-26 09:00:00+07:00,4.46,4.48,4.42,4.46,14790000.0
2019-11-26 13:00:00+07:00,4.44,4.46,4.32,4.32,24199000.0
2019-11-27 09:00:00+07:00,4.36,4.38,4.32,4.34,10119600.0
2019-11-27 13:00:00+07:00,4.36,4.44,4.34,4.34,23996000.0
2019-11-28 09:00:00+07:00,4.36,4.38,4.22,4.26,27862300.0
2019-11-28 13:00:00+07:00,4.24,4.26,4.2,4.22,24929100.0
2019-11-29 09:00:00+07:00,4.22,4.22,4.14,4.18,12448800.0
2019-11-29 13:00:00+07:00,4.22,4.34,4.18,4.32,22282800.0
2019-12-02 09:00:00+07:00,4.32,4.38,4.26,4.3,5910300.0
2019-12-02 13:00:00+07:00,4.28,4.32,4.24,4.28,6328400.0
2019-12-03 09:00:00+07:00,4.26,4.32,4.26,4.3,3794000.0
2019-12-03 13:00:00+07:00,4.32,4.34,4.26,4.28,4573300.0
2019-12-04 09:00:00+07:00,4.26,4.3,4.24,4.26,2413000.0
2019-12-04 13:00:00+07:00,4.26,4.28,4.24,4.24,2195500.0
2019-12-06 09:00:00+07:00,4.26,4.32,4.26,4.28,4463600.0
2019-12-06 13:00:00+07:00,4.28,4.3,4.16,4.16,9343300.0
2019-12-09 09:00:00+07:00,4.16,4.2,4.0,4.06,23686300.0
2019-12-09 13:00:00+07:00,4.04,4.16,4.04,4.08,13255800.0
2019-12-11 09:00:00+07:00,4.1,4.18,4.1,4.12,3360900.0
2019-12-11 13:00:00+07:00,4.12,4.18,4.12,4.12,2290200.0
2019-12-12 09:00:00+07:00,4.14,4.24,4.14,4.22,10316500.0
2019-12-12 13:00:00+07:00,4.22,4.24,4.2,4.2,6105800.0
2019-12-13 09:00:00+07:00,4.24,4.4,4.24,4.36,20284200.0
2019-12-13 13:00:00+07:00,4.36,4.4,4.34,4.38,15620500.0
2019-12-16 09:00:00+07:00,4.38,4.38,4.26,4.28,6693600.0
2019-12-16 13:00:00+07:00,4.28,4.3,4.26,4.26,6251700.0
2019-12-17 09:00:00+07:00,4.12,4.16,4.08,4.1,14563900.0
2019-12-17 13:00:00+07:00,4.1,4.14,4.06,4.06,16477000.0
2019-12-18 09:00:00+07:00,4.06,4.12,4.06,4.08,8233000.0
2019-12-18 13:00:00+07:00,4.08,4.14,4.06,4.12,14696600.0
2019-12-19 09:00:00+07:00,4.12,4.16,4.1,4.14,3441000.0
2019-12-19 13:00:00+07:00,4.14,4.22,4.14,4.18,5327900.0
2019-12-20 09:00:00+07:00,4.18,4.24,4.16,4.2,3367400.0
2019-12-20 13:00:00+07:00,4.22,4.32,4.22,4.32,9685600.0
2019-12-23 09:00:00+07:00,4.28,4.32,4.2,4.24,2411900.0
2019-12-23 13:00:00+07:00,4.24,4.24,4.16,4.16,3959400.0
2019-12-24 09:00:00+07:00,4.18,4.24,4.16,4.18,6114600.0
2019-12-24 13:00:00+07:00,4.18,4.18,4.04,4.08,19150000.0
2019-12-25 09:00:00+07:00,4.08,4.14,4.06,4.08,5599300.0
2019-12-25 13:00:00+07:00,4.08,4.12,4.06,4.06,7090600.0
2019-12-26 09:00:00+07:00,4.08,4.12,4.06,4.08,2818100.0
2019-12-26 13:00:00+07:00,4.08,4.1,4.08,4.08,3356600.0
2019-12-27 09:00:00+07:00,4.1,4.16,4.08,4.12,6908900.0
2019-12-27 13:00:00+07:00,4.12,4.12,4.08,4.1,4889500.0
2019-12-30 09:00:00+07:00,4.1,4.16,4.1,4.14,1876600.0
2019-12-30 13:00:00+07:00,4.14,4.24,4.1,4.22,12402900.0
2020-01-02 09:00:00+07:00,4.24,4.26,4.2,4.22,3201500.0
2020-01-02 13:00:00+07:00,4.22,4.32,4.22,4.3,19018700.0
2020-01-03 09:00:00+07:00,4.28,4.34,4.26,4.28,7687700.0
2020-01-03 13:00:00+07:00,4.28,4.34,4.28,4.28,8338400.0
2020-01-06 09:00:00+07:00,4.22,4.22,4.16,4.22,3574500.0
2020-01-06 13:00:00+07:00,4.2,4.22,4.08,4.12,7600600.0
2020-01-07 09:00:00+07:00,4.14,4.26,4.14,4.22,5300700.0
2020-01-07 13:00:00+07:00,4.22,4.3,4.2,4.3,6318800.0
2020-01-08 09:00:00+07:00,4.26,4.3,4.24,4.24,13423400.0
2020-01-08 13:00:00+07:00,4.26,4.42,4.24,4.4,14074900.0
2020-01-09 09:00:00+07:00,4.44,4.46,4.36,4.36,15066100.0
2020-01-09 13:00:00+07:00,4.38,4.54,4.36,4.5,31017800.0
2020-01-10 09:00:00+07:00,4.52,4.54,4.46,4.48,5509800.0
2020-01-10 13:00:00+07:00,4.48,4.5,4.4,4.48,9506300.0
2020-01-13 09:00:00+07:00,4.52,4.6,4.48,4.5,15959300.0
