datetime,Open,High,Low,Close,Volume
2013-07-18 09:00:00+07:00,3.34,3.4,3.14,3.18,1043271500.0
2013-07-18 13:00:00+07:00,3.18,3.24,3.02,3.2,527572000.0
2013-07-19 09:00:00+07:00,3.2,3.2,3.06,3.08,239126500.0
2013-07-19 13:00:00+07:00,3.08,3.12,3.06,3.08,106004500.0
2013-07-23 09:00:00+07:00,3.12,3.2,3.02,3.06,306567000.0
2013-07-23 13:00:00+07:00,3.06,3.1,3.04,3.04,86684000.0
2013-07-24 09:00:00+07:00,3.06,3.08,3.02,3.06,42919500.0
2013-07-24 13:00:00+07:00,3.06,3.08,3.0,3.0,65777000.0
2013-07-25 09:00:00+07:00,3.0,3.04,2.96,3.0,71304500.0
2013-07-25 13:00:00+07:00,2.98,3.0,2.96,3.0,52588000.0
2013-07-26 09:00:00+07:00,3.0,3.02,2.92,2.94,15974000.0
2013-07-26 13:00:00+07:00,2.92,3.04,2.92,3.04,50831500.0
2013-07-29 09:00:00+07:00,2.96,2.96,2.9,2.92,4758500.0
2013-07-29 13:00:00+07:00,2.9,3.0,2.88,3.0,8867000.0
2013-07-30 09:00:00+07:00,2.96,2.98,2.92,2.96,1475500.0
2013-07-30 13:00:00+07:00,2.94,2.98,2.92,2.98,16525000.0
2013-07-31 09:00:00+07:00,2.94,2.96,2.88,2.9,5774000.0
2013-07-31 13:00:00+07:00,2.88,2.94,2.84,2.94,15879500.0
2013-08-01 09:00:00+07:00,2.92,2.92,2.88,2.88,2744000.0
2013-08-01 13:00:00+07:00,2.88,2.98,2.88,2.96,11658500.0
2013-08-02 09:00:00+07:00,2.92,2.92,2.88,2.88,4455000.0
2013-08-02 13:00:00+07:00,2.88,2.94,2.86,2.92,15346000.0
2013-08-05 09:00:00+07:00,2.9,2.9,2.86,2.86,2066500.0
2013-08-05 13:00:00+07:00,2.86,2.9,2.84,2.88,3919000.0
2013-08-06 09:00:00+07:00,2.82,2.86,2.82,2.86,2169500.0
2013-08-06 13:00:00+07:00,2.84,2.88,2.8,2.86,7513000.0
2013-08-07 09:00:00+07:00,2.84,2.84,2.8,2.82,3098000.0
2013-08-07 13:00:00+07:00,2.82,2.82,2.74,2.74,4516000.0
2013-08-08 09:00:00+07:00,2.76,2.82,2.76,2.8,5846000.0
2013-08-08 13:00:00+07:00,2.8,2.82,2.78,2.8,4969500.0
2013-08-09 09:00:00+07:00,2.82,2.82,2.78,2.8,2941000.0
2013-08-09 13:00:00+07:00,2.8,2.8,2.76,2.8,3279000.0
2013-08-13 09:00:00+07:00,2.8,2.84,2.78,2.78,661500.0
2013-08-13 13:00:00+07:00,2.78,2.8,2.76,2.78,2938000.0
2013-08-14 09:00:00+07:00,2.78,2.78,2.74,2.74,2410000.0
2013-08-14 13:00:00+07:00,2.74,2.76,2.7,2.76,5604500.0
2013-08-15 09:00:00+07:00,2.76,2.78,2.72,2.76,3831000.0
2013-08-15 13:00:00+07:00,2.76,2.76,2.72,2.76,2386500.0
2013-08-16 09:00:00+07:00,2.72,2.76,2.72,2.72,1779000.0
2013-08-16 13:00:00+07:00,2.72,2.74,2.72,2.74,2390500.0
2013-08-19 09:00:00+07:00,2.74,2.8,2.72,2.72,3597500.0
2013-08-19 13:00:00+07:00,2.72,2.74,2.68,2.72,3562500.0
2013-08-20 09:00:00+07:00,2.68,2.68,2.58,2.62,7177500.0
2013-08-20 13:00:00+07:00,2.6,2.62,2.58,2.6,6678000.0
2013-08-21 09:00:00+07:00,2.6,2.68,2.6,2.62,3364500.0
2013-08-21 13:00:00+07:00,2.62,2.64,2.6,2.6,2075500.0
2013-08-22 09:00:00+07:00,2.58,2.64,2.54,2.56,3566500.0
2013-08-22 13:00:00+07:00,2.56,2.58,2.54,2.58,2690500.0
2013-08-23 09:00:00+07:00,2.6,2.6,2.56,2.58,1403000.0
2013-08-23 13:00:00+07:00,2.58,2.58,2.52,2.56,2866000.0
2013-08-26 09:00:00+07:00,2.56,2.56,2.5,2.52,930500.0
2013-08-26 13:00:00+07:00,2.5,2.54,2.46,2.54,4292500.0
2013-08-27 09:00:00+07:00,2.48,2.52,2.46,2.5,2449500.0
2013-08-27 13:00:00+07:00,2.48,2.52,2.42,2.46,5969000.0
2013-08-28 09:00:00+07:00,2.36,2.36,2.2,2.3,4332500.0
2013-08-28 13:00:00+07:00,2.28,2.34,2.26,2.34,2427500.0
2013-08-29 09:00:00+07:00,2.3,2.38,2.3,2.3,2122500.0
2013-08-29 13:00:00+07:00,2.32,2.34,2.3,2.32,667000.0
2013-08-30 09:00:00+07:00,2.32,2.34,2.28,2.32,804000.0
2013-08-30 13:00:00+07:00,2.32,2.32,2.3,2.32,592000.0
2013-09-02 09:00:00+07:00,2.28,2.32,2.28,2.32,795500.0
2013-09-02 13:00:00+07:00,2.32,2.36,2.3,2.36,1784000.0
2013-09-03 09:00:00+07:00,2.36,2.44,2.34,2.42,1812000.0
2013-09-03 13:00:00+07:00,2.42,2.44,2.3,2.3,2003000.0
2013-09-04 09:00:00+07:00,2.28,2.38,2.28,2.38,1198500.0
2013-09-04 13:00:00+07:00,2.36,2.36,2.28,2.34,2406500.0
2013-09-05 09:00:00+07:00,2.32,2.4,2.32,2.38,1524500.0
2013-09-05 13:00:00+07:00,2.38,2.38,2.36,2.36,801000.0
2013-09-06 09:00:00+07:00,2.36,2.4,2.36,2.38,1222500.0
2013-09-06 13:00:00+07:00,2.38,2.42,2.38,2.4,3649500.0
2013-09-09 09:00:00+07:00,2.48,2.6,2.46,2.54,53468000.0
2013-09-09 13:00:00+07:00,2.54,2.54,2.5,2.5,8223000.0
2013-09-10 09:00:00+07:00,2.54,2.64,2.52,2.58,34587000.0
2013-09-10 13:00:00+07:00,2.58,2.6,2.52,2.52,12048000.0
2013-09-11 09:00:00+07:00,2.56,2.56,2.52,2.52,4357500.0
2013-09-11 13:00:00+07:00,2.52,2.54,2.48,2.52,4027000.0
2013-09-12 09:00:00+07:00,2.54,2.54,2.52,2.54,1990500.0
2013-09-12 13:00:00+07:00,2.54,2.54,2.48,2.48,5226500.0
2013-09-13 09:00:00+07:00,2.48,2.5,2.46,2.48,1193500.0
2013-09-13 13:00:00+07:00,2.48,2.56,2.48,2.5,3968000.0
2013-09-16 09:00:00+07:00,2.54,2.68,2.52,2.6,22433000.0
2013-09-16 13:00:00+07:00,2.58,2.6,2.58,2.58,4329500.0
2013-09-17 09:00:00+07:00,2.58,2.6,2.56,2.58,2963000.0
2013-09-17 13:00:00+07:00,2.58,2.6,2.54,2.54,3717000.0
