datetime,Open,High,Low,Close,Volume
2009-02-02 09:00:00+07:00,3.34,3.36,3.32,3.34,206.0
2009-02-02 13:00:00+07:00,3.34,3.34,3.3,3.32,184.0
2009-02-03 09:00:00+07:00,3.34,3.36,3.3,3.32,148.0
2009-02-03 13:00:00+07:00,3.32,3.34,3.3,3.34,129.0
2009-02-04 09:00:00+07:00,3.36,3.38,3.34,3.36,62.0
2009-02-04 13:00:00+07:00,3.36,3.36,3.34,3.34,69.0
2009-02-05 09:00:00+07:00,3.34,3.36,3.34,3.36,27.0
2009-02-05 13:00:00+07:00,3.34,3.36,3.34,3.34,23.0
2009-02-06 09:00:00+07:00,3.36,3.38,3.34,3.36,55.0
2009-02-06 13:00:00+07:00,3.36,3.4,3.36,3.38,79.0
2009-02-10 09:00:00+07:00,3.44,3.44,3.38,3.38,61.0
2009-02-10 13:00:00+07:00,3.38,3.4,3.38,3.4,36.0
2009-02-11 09:00:00+07:00,3.36,3.4,3.36,3.38,37.0
2009-02-11 13:00:00+07:00,3.38,3.38,3.34,3.38,47.0
2009-02-12 09:00:00+07:00,3.36,3.38,3.36,3.36,18.0
2009-02-12 13:00:00+07:00,3.36,3.38,3.36,3.38,33.0
2009-02-13 09:00:00+07:00,3.4,3.44,3.4,3.44,80.0
2009-02-13 13:00:00+07:00,3.42,3.44,3.4,3.4,105.0
2009-02-16 09:00:00+07:00,3.42,3.42,3.4,3.4,52.0
2009-02-16 13:00:00+07:00,3.4,3.42,3.4,3.42,38.0
2009-02-17 09:00:00+07:00,3.4,3.42,3.4,3.42,45.0
2009-02-17 13:00:00+07:00,3.42,3.44,3.4,3.42,68.0
2009-02-18 09:00:00+07:00,3.42,3.44,3.4,3.42,75.0
2009-02-18 13:00:00+07:00,3.42,3.48,3.42,3.42,112.0
2009-02-19 09:00:00+07:00,3.44,3.46,3.44,3.46,134.0
2009-02-19 13:00:00+07:00,3.46,3.48,3.44,3.48,122.0
2009-02-20 09:00:00+07:00,3.48,3.48,3.4,3.42,86.0
2009-02-20 13:00:00+07:00,3.42,3.48,3.42,3.48,57.0
2009-02-23 09:00:00+07:00,3.42,3.44,3.4,3.42,69.0
2009-02-23 13:00:00+07:00,3.42,3.44,3.4,3.44,44.0
2009-02-24 09:00:00+07:00,3.4,3.44,3.4,3.42,48.0
2009-02-24 13:00:00+07:00,3.42,3.44,3.4,3.44,45.0
2009-02-25 09:00:00+07:00,3.44,3.46,3.42,3.44,62.0
2009-02-25 13:00:00+07:00,3.44,3.44,3.36,3.38,79.0
2009-02-26 09:00:00+07:00,3.38,3.42,3.38,3.4,64.0
2009-02-26 13:00:00+07:00,3.4,3.42,3.38,3.4,50.0
2009-02-27 09:00:00+07:00,3.4,3.42,3.38,3.4,30.0
2009-02-27 13:00:00+07:00,3.38,3.42,3.38,3.38,44.0
2009-03-02 09:00:00+07:00,3.38,3.38,3.32,3.34,91.0
2009-03-02 13:00:00+07:00,3.32,3.32,3.26,3.28,94.0
2009-03-03 09:00:00+07:00,3.24,3.28,3.24,3.24,76.0
2009-03-03 13:00:00+07:00,3.24,3.26,3.24,3.24,53.0
2009-03-04 09:00:00+07:00,3.24,3.28,3.24,3.28,21.0
2009-03-04 13:00:00+07:00,3.28,3.32,3.28,3.32,63.0
2009-03-05 09:00:00+07:00,3.34,3.38,3.32,3.36,80.0
2009-03-05 13:00:00+07:00,3.34,3.36,3.32,3.32,42.0
2009-03-06 09:00:00+07:00,3.3,3.36,3.3,3.36,90.0
2009-03-06 13:00:00+07:00,3.36,3.38,3.34,3.38,24.0
2009-03-09 09:00:00+07:00,3.38,3.38,3.34,3.34,22.0
2009-03-09 13:00:00+07:00,3.34,3.34,3.3,3.32,39.0
2009-03-10 09:00:00+07:00,3.32,3.36,3.32,3.34,53.0
2009-03-10 13:00:00+07:00,3.34,3.36,3.34,3.36,46.0
2009-03-11 09:00:00+07:00,3.34,3.34,3.32,3.34,55.0
2009-03-11 13:00:00+07:00,3.34,3.34,3.32,3.34,34.0
2009-03-12 09:00:00+07:00,3.32,3.36,3.32,3.34,28.0
2009-03-12 13:00:00+07:00,3.34,3.34,3.32,3.34,27.0
2009-03-13 09:00:00+07:00,3.36,3.36,3.34,3.34,35.0
2009-03-13 13:00:00+07:00,3.36,3.36,3.32,3.32,25.0
2009-03-16 09:00:00+07:00,3.36,3.36,3.32,3.34,29.0
2009-03-16 13:00:00+07:00,3.32,3.34,3.32,3.32,14.0
2009-03-17 09:00:00+07:00,3.3,3.34,3.3,3.32,17.0
2009-03-17 13:00:00+07:00,3.34,3.34,3.32,3.34,25.0
2009-03-18 09:00:00+07:00,3.34,3.34,3.3,3.32,50.0
2009-03-18 13:00:00+07:00,3.32,3.32,3.3,3.32,62.0
2009-03-19 09:00:00+07:00,3.32,3.32,3.28,3.3,116.0
2009-03-19 13:00:00+07:00,3.3,3.3,3.26,3.28,109.0
2009-03-20 09:00:00+07:00,3.3,3.32,3.28,3.3,49.0
2009-03-20 13:00:00+07:00,3.3,3.34,3.26,3.34,63.0
2009-03-23 09:00:00+07:00,3.32,3.34,3.32,3.32,58.0
2009-03-23 13:00:00+07:00,3.32,3.36,3.32,3.34,80.0
2009-03-24 09:00:00+07:00,3.34,3.34,3.32,3.32,95.0
2009-03-24 13:00:00+07:00,3.34,3.34,3.32,3.32,120.0
2009-03-25 09:00:00+07:00,3.32,3.32,3.3,3.3,70.0
2009-03-25 13:00:00+07:00,3.3,3.3,3.26,3.28,106.0
2009-03-26 09:00:00+07:00,3.28,3.32,3.28,3.32,37.0
2009-03-26 13:00:00+07:00,3.3,3.32,3.3,3.32,59.0
2009-03-27 09:00:00+07:00,3.36,3.36,3.3,3.32,57.0
2009-03-27 13:00:00+07:00,3.34,3.36,3.34,3.36,73.0
2009-03-30 09:00:00+07:00,3.2,3.24,3.2,3.2,81.0
2009-03-30 13:00:00+07:00,3.2,3.24,3.18,3.24,84.0
2009-03-31 09:00:00+07:00,3.24,3.24,3.18,3.2,64.0
2009-03-31 13:00:00+07:00,3.22,3.24,3.22,3.24,91.0
2009-04-01 09:00:00+07:00,3.24,3.24,3.18,3.18,40.0
2009-04-01 13:00:00+07:00,3.18,3.22,3.18,3.22,35.0
2009-04-02 09:00:00+07:00,3.22,3.26,3.22,3.22,56.0
2009-04-02 13:00:00+07:00,3.22,3.24,3.22,3.22,54.0
2009-04-03 09:00:00+07:00,3.24,3.26,3.22,3.22,76.0
2009-04-03 13:00:00+07:00,3.24,3.24,3.18,3.18,61.0
2009-04-07 09:00:00+07:00,3.2,3.22,3.16,3.18,150.0
2009-04-07 13:00:00+07:00,3.18,3.2,3.14,3.16,123.0
2009-04-08 09:00:00+07:00,3.12,3.16,3.12,3.14,56.0
2009-04-08 13:00:00+07:00,3.12,3.16,3.12,3.14,99.0
2009-04-09 09:00:00+07:00,3.14,3.16,3.1,3.14,209.0
2009-04-09 13:00:00+07:00,3.14,3.16,3.12,3.14,71.0
2009-04-10 09:00:00+07:00,3.14,3.16,3.1,3.12,53.0
2009-04-10 13:00:00+07:00,3.14,3.18,3.14,3.18,97.0
2009-04-16 09:00:00+07:00,3.14,3.16,3.12,3.12,201.0
2009-04-16 13:00:00+07:00,3.14,3.16,3.12,3.16,125.0
2009-04-17 09:00:00+07:00,3.16,3.16,3.1,3.12,131.0
2009-04-17 13:00:00+07:00,3.12,3.14,3.12,3.12,100.0
2009-04-20 09:00:00+07:00,3.14,3.18,3.12,3.18,96.0
2009-04-20 13:00:00+07:00,3.18,3.2,3.16,3.16,73.0
2009-04-21 09:00:00+07:00,3.16,3.18,3.14,3.16,42.0
2009-04-21 13:00:00+07:00,3.16,3.18,3.16,3.16,72.0
2009-04-22 09:00:00+07:00,3.18,3.28,3.18,3.22,128.0
2009-04-22 13:00:00+07:00,3.22,3.24,3.2,3.22,112.0
2009-04-23 09:00:00+07:00,3.22,3.26,3.22,3.24,58.0
2009-04-23 13:00:00+07:00,3.24,3.3,3.24,3.28,90.0
2009-04-24 09:00:00+07:00,3.3,3.3,3.26,3.26,234.0
2009-04-24 13:00:00+07:00,3.26,3.3,3.26,3.26,227.0
2009-04-27 09:00:00+07:00,3.24,3.28,3.22,3.24,334.0
2009-04-27 13:00:00+07:00,3.22,3.26,3.22,3.24,290.0
2009-04-28 09:00:00+07:00,3.26,3.26,3.22,3.22,98.0
2009-04-28 13:00:00+07:00,3.22,3.22,3.2,3.22,100.0
2009-04-29 09:00:00+07:00,3.24,3.3,3.24,3.28,169.0
2009-04-29 13:00:00+07:00,3.28,3.34,3.28,3.3,159.0
2009-04-30 09:00:00+07:00,3.34,3.34,3.3,3.3,119.0
2009-04-30 13:00:00+07:00,3.3,3.34,3.3,3.32,146.0
2009-05-04 09:00:00+07:00,3.34,3.38,3.34,3.36,210.0
2009-05-04 13:00:00+07:00,3.36,3.44,3.36,3.44,182.0
2009-05-06 09:00:00+07:00,3.48,3.66,3.46,3.6,531.0
2009-05-06 13:00:00+07:00,3.62,3.76,3.62,3.72,308.0
2009-05-07 09:00:00+07:00,3.8,3.88,3.74,3.76,388.0
2009-05-07 13:00:00+07:00,3.76,3.8,3.74,3.76,189.0
2009-05-11 09:00:00+07:00,3.78,3.82,3.76,3.78,174.0
2009-05-11 13:00:00+07:00,3.78,3.78,3.7,3.72,169.0
2009-05-12 09:00:00+07:00,3.72,3.78,3.62,3.64,256.0
2009-05-12 13:00:00+07:00,3.64,3.74,3.64,3.72,167.0
2009-05-13 09:00:00+07:00,3.68,3.7,3.62,3.64,226.0
2009-05-13 13:00:00+07:00,3.72,3.88,3.72,3.82,512.0
2009-05-14 09:00:00+07:00,3.98,4.4,3.96,4.12,896.0
2009-05-14 13:00:00+07:00,4.12,4.12,4.0,4.0,343.0
2009-05-15 09:00:00+07:00,4.12,4.18,3.86,3.94,427.0
2009-05-15 13:00:00+07:00,3.96,4.02,3.88,4.0,230.0
2009-05-18 09:00:00+07:00,4.0,4.02,3.96,4.0,163.0
2009-05-18 13:00:00+07:00,4.02,4.04,3.98,4.02,193.0
2009-05-19 09:00:00+07:00,4.08,4.14,4.04,4.12,358.0
2009-05-19 13:00:00+07:00,4.1,4.18,4.1,4.12,346.0
2009-05-20 09:00:00+07:00,4.12,4.16,4.08,4.12,326.0
2009-05-20 13:00:00+07:00,4.14,4.14,4.12,4.12,122.0
2009-05-21 09:00:00+07:00,4.1,4.18,4.08,4.12,200.0
