datetime,Open,High,Low,Close,Volume
2009-02-03 13:00:00+07:00,2.96,3.02,2.96,3.02,8.0
2009-02-04 13:00:00+07:00,3.0,3.06,3.0,3.06,7.0
2009-02-05 13:00:00+07:00,3.06,3.06,3.06,3.06,2.0
2009-02-06 09:00:00+07:00,2.94,2.96,2.94,2.96,7.0
2009-02-06 13:00:00+07:00,2.94,3.0,2.9,2.9,9.0
2009-02-10 09:00:00+07:00,2.92,2.92,2.8,2.9,13.0
2009-02-10 13:00:00+07:00,2.86,2.94,2.86,2.94,5.0
2009-02-11 09:00:00+07:00,2.9,2.9,2.84,2.84,6.0
2009-02-11 13:00:00+07:00,2.9,2.9,2.86,2.86,7.0
2009-02-12 09:00:00+07:00,2.84,2.84,2.84,2.84,10.0
2009-02-12 13:00:00+07:00,2.82,2.92,2.82,2.92,5.0
2009-02-13 13:00:00+07:00,2.92,2.98,2.92,2.98,20.0
2009-02-16 09:00:00+07:00,2.94,3.0,2.94,3.0,11.0
2009-02-16 13:00:00+07:00,2.94,2.98,2.92,2.98,10.0
2009-02-17 09:00:00+07:00,2.88,2.88,2.82,2.86,11.0
2009-02-17 13:00:00+07:00,2.84,2.9,2.8,2.88,16.0
2009-02-18 13:00:00+07:00,2.86,2.86,2.7,2.8,8.0
2009-02-19 13:00:00+07:00,2.74,2.84,2.74,2.84,12.0
2009-02-20 09:00:00+07:00,2.9,2.9,2.9,2.9,3.0
2009-02-20 13:00:00+07:00,2.9,2.9,2.9,2.9,2.0
2009-02-23 13:00:00+07:00,2.88,2.96,2.88,2.96,8.0
2009-02-24 09:00:00+07:00,2.84,2.84,2.8,2.8,5.0
2009-02-24 13:00:00+07:00,2.82,2.9,2.82,2.9,7.0
2009-02-25 09:00:00+07:00,2.86,2.88,2.86,2.88,3.0
2009-02-25 13:00:00+07:00,2.82,2.82,2.7,2.76,21.0
2009-02-26 09:00:00+07:00,2.78,2.78,2.74,2.74,7.0
2009-02-26 13:00:00+07:00,2.72,2.76,2.68,2.76,45.0
2009-02-27 09:00:00+07:00,2.68,2.76,2.68,2.7,25.0
2009-02-27 13:00:00+07:00,2.66,2.76,2.66,2.76,45.0
2009-03-02 09:00:00+07:00,2.66,2.66,2.5,2.5,54.0
2009-03-02 13:00:00+07:00,2.52,2.86,2.48,2.86,193.0
2009-03-03 09:00:00+07:00,2.82,2.86,2.82,2.86,7.0
2009-03-03 13:00:00+07:00,2.86,2.86,2.86,2.86,1.0
2009-03-05 09:00:00+07:00,2.8,2.8,2.7,2.78,13.0
2009-03-05 13:00:00+07:00,2.76,2.8,2.76,2.8,6.0
2009-03-06 09:00:00+07:00,2.78,2.78,2.78,2.78,3.0
2009-03-06 13:00:00+07:00,2.78,2.78,2.78,2.78,2.0
2009-03-09 09:00:00+07:00,2.88,2.88,2.88,2.88,3.0
2009-03-09 13:00:00+07:00,2.78,2.78,2.78,2.78,2.0
2009-03-10 13:00:00+07:00,2.64,2.78,2.5,2.72,29.0
2009-03-11 09:00:00+07:00,2.78,2.78,2.78,2.78,3.0
2009-03-11 13:00:00+07:00,2.64,2.78,2.62,2.78,13.0
2009-03-12 09:00:00+07:00,2.66,2.66,2.66,2.66,3.0
2009-03-12 13:00:00+07:00,2.68,2.8,2.54,2.8,21.0
2009-03-13 09:00:00+07:00,2.6,2.62,2.56,2.62,18.0
2009-03-13 13:00:00+07:00,2.6,2.68,2.56,2.56,7.0
2009-03-16 13:00:00+07:00,2.7,2.7,2.7,2.7,2.0
2009-03-17 13:00:00+07:00,2.54,2.7,2.52,2.7,8.0
2009-03-18 09:00:00+07:00,2.7,2.7,2.66,2.66,6.0
2009-03-18 13:00:00+07:00,2.66,2.78,2.66,2.78,26.0
2009-03-19 09:00:00+07:00,2.8,2.8,2.74,2.76,21.0
2009-03-19 13:00:00+07:00,2.74,2.8,2.74,2.8,7.0
2009-03-20 13:00:00+07:00,2.68,2.8,2.68,2.8,6.0
2009-03-23 09:00:00+07:00,2.7,2.7,2.7,2.7,3.0
2009-03-23 13:00:00+07:00,2.78,2.8,2.78,2.8,5.0
2009-03-24 13:00:00+07:00,2.7,2.78,2.62,2.78,6.0
2009-03-25 09:00:00+07:00,2.68,2.68,2.68,2.68,3.0
2009-03-25 13:00:00+07:00,2.66,2.74,2.66,2.74,5.0
2009-03-26 13:00:00+07:00,2.74,2.8,2.74,2.8,6.0
2009-03-27 13:00:00+07:00,2.64,2.7,2.62,2.7,13.0
2009-03-31 09:00:00+07:00,2.62,2.62,2.62,2.62,3.0
2009-03-31 13:00:00+07:00,2.68,2.8,2.68,2.8,13.0
2009-04-02 09:00:00+07:00,2.66,2.66,2.64,2.66,5.0
2009-04-02 13:00:00+07:00,2.78,2.88,2.78,2.88,9.0
2009-04-03 13:00:00+07:00,2.78,2.88,2.72,2.72,5.0
2009-04-07 13:00:00+07:00,2.8,2.8,2.8,2.8,2.0
2009-04-16 13:00:00+07:00,2.66,2.8,2.62,2.8,39.0
2009-04-17 09:00:00+07:00,2.68,2.68,2.68,2.68,3.0
2009-04-17 13:00:00+07:00,2.68,2.68,2.68,2.68,2.0
2009-04-20 09:00:00+07:00,2.68,2.68,2.68,2.68,3.0
2009-04-20 13:00:00+07:00,2.72,2.78,2.68,2.68,8.0
2009-04-21 13:00:00+07:00,2.7,2.7,2.7,2.7,2.0
2009-04-22 13:00:00+07:00,2.74,2.8,2.74,2.8,8.0
2009-04-23 09:00:00+07:00,2.76,2.76,2.76,2.76,3.0
2009-04-23 13:00:00+07:00,2.76,2.8,2.76,2.8,4.0
2009-04-29 13:00:00+07:00,2.8,2.8,2.8,2.8,3.0
2009-04-30 09:00:00+07:00,2.8,2.8,2.8,2.8,2.0
2009-04-30 13:00:00+07:00,2.78,2.8,2.78,2.8,4.0
2009-05-06 13:00:00+07:00,2.68,2.78,2.66,2.76,6.0
2009-05-07 09:00:00+07:00,2.76,2.76,2.76,2.76,3.0
2009-05-07 13:00:00+07:00,2.76,2.76,2.76,2.76,4.0
2009-05-11 09:00:00+07:00,2.76,2.76,2.72,2.72,6.0
2009-05-11 13:00:00+07:00,2.72,2.8,2.72,2.8,9.0
2009-05-12 09:00:00+07:00,2.76,2.78,2.68,2.78,12.0
2009-05-12 13:00:00+07:00,2.76,2.8,2.72,2.8,15.0
2009-05-13 09:00:00+07:00,2.76,2.76,2.66,2.66,36.0
2009-05-13 13:00:00+07:00,2.66,2.68,2.64,2.68,36.0
2009-05-14 09:00:00+07:00,2.72,2.72,2.68,2.68,4.0
2009-05-14 13:00:00+07:00,2.66,2.68,2.66,2.68,9.0
2009-05-15 13:00:00+07:00,2.6,2.68,2.6,2.68,14.0
2009-05-19 09:00:00+07:00,2.68,2.7,2.68,2.7,5.0
2009-05-19 13:00:00+07:00,2.68,2.78,2.68,2.78,17.0
2009-05-20 09:00:00+07:00,2.74,2.74,2.72,2.72,5.0
2009-05-20 13:00:00+07:00,2.68,2.8,2.64,2.8,26.0
2009-05-21 09:00:00+07:00,2.74,2.74,2.68,2.72,5.0
2009-05-21 13:00:00+07:00,2.72,2.72,2.68,2.72,6.0
2009-05-22 13:00:00+07:00,2.7,2.7,2.66,2.7,10.0
2009-05-25 09:00:00+07:00,2.66,2.68,2.66,2.68,5.0
2009-05-25 13:00:00+07:00,2.66,2.7,2.64,2.7,5.0
2009-05-26 13:00:00+07:00,2.68,2.7,2.66,2.7,7.0
2009-05-27 09:00:00+07:00,2.68,2.68,2.68,2.68,4.0
2009-05-27 13:00:00+07:00,2.68,2.72,2.68,2.72,10.0
2009-05-28 09:00:00+07:00,2.7,2.72,2.62,2.72,46.0
2009-05-28 13:00:00+07:00,2.7,2.74,2.7,2.74,12.0
2009-05-29 09:00:00+07:00,2.74,2.74,2.64,2.72,18.0
2009-05-29 13:00:00+07:00,2.7,2.7,2.7,2.7,5.0
2009-06-01 09:00:00+07:00,2.68,2.74,2.68,2.74,4.0
2009-06-01 13:00:00+07:00,2.74,2.78,2.74,2.78,4.0
2009-06-02 09:00:00+07:00,2.7,2.7,2.7,2.7,6.0
2009-06-02 13:00:00+07:00,2.68,2.78,2.66,2.78,9.0
2009-06-03 09:00:00+07:00,2.76,2.76,2.76,2.76,3.0
2009-06-03 13:00:00+07:00,2.68,2.74,2.68,2.7,6.0
2009-06-04 09:00:00+07:00,2.7,2.7,2.7,2.7,3.0
2009-06-04 13:00:00+07:00,2.68,2.7,2.68,2.7,7.0
2009-06-05 09:00:00+07:00,2.68,2.68,2.68,2.68,3.0
2009-06-05 13:00:00+07:00,2.7,2.7,2.68,2.7,6.0
2009-06-08 09:00:00+07:00,2.8,2.8,2.8,2.8,3.0
2009-06-08 13:00:00+07:00,2.7,2.7,2.7,2.7,4.0
2009-06-09 09:00:00+07:00,2.7,2.7,2.7,2.7,3.0
2009-06-09 13:00:00+07:00,2.68,2.68,2.64,2.68,11.0
2009-06-10 09:00:00+07:00,2.66,2.7,2.6,2.68,18.0
2009-06-10 13:00:00+07:00,2.66,2.72,2.66,2.72,25.0
2009-06-11 09:00:00+07:00,2.66,2.68,2.64,2.68,9.0
2009-06-11 13:00:00+07:00,2.68,2.7,2.66,2.7,11.0
2009-06-12 09:00:00+07:00,2.66,2.68,2.66,2.68,5.0
2009-06-12 13:00:00+07:00,2.68,2.68,2.68,2.68,4.0
2009-06-15 09:00:00+07:00,2.68,2.68,2.66,2.66,5.0
2009-06-15 13:00:00+07:00,2.66,2.68,2.66,2.68,5.0
2009-06-16 09:00:00+07:00,2.66,2.66,2.64,2.66,6.0
