datetime,Open,High,Low,Close,Volume
2009-02-02 09:00:00+07:00,0.45,0.465,0.45,0.45,50.0
2009-02-02 13:00:00+07:00,0.45,0.455,0.445,0.445,42.0
2009-02-03 09:00:00+07:00,0.45,0.45,0.45,0.45,24.0
2009-02-03 13:00:00+07:00,0.445,0.45,0.445,0.445,12.0
2009-02-04 09:00:00+07:00,0.45,0.455,0.445,0.45,56.0
2009-02-04 13:00:00+07:00,0.45,0.455,0.45,0.455,28.0
2009-02-05 09:00:00+07:00,0.455,0.455,0.45,0.455,18.0
2009-02-05 13:00:00+07:00,0.45,0.455,0.445,0.455,20.0
2009-02-06 09:00:00+07:00,0.455,0.465,0.455,0.455,114.0
2009-02-06 13:00:00+07:00,0.455,0.46,0.445,0.45,48.0
2009-02-10 09:00:00+07:00,0.45,0.465,0.45,0.455,114.0
2009-02-10 13:00:00+07:00,0.455,0.455,0.43,0.44,76.0
2009-02-11 09:00:00+07:00,0.445,0.445,0.4,0.41,286.0
2009-02-11 13:00:00+07:00,0.41,0.42,0.405,0.42,76.0
2009-02-12 09:00:00+07:00,0.42,0.44,0.405,0.425,208.0
2009-02-12 13:00:00+07:00,0.425,0.43,0.415,0.43,112.0
2009-02-13 09:00:00+07:00,0.43,0.43,0.415,0.415,104.0
2009-02-13 13:00:00+07:00,0.415,0.42,0.415,0.415,56.0
2009-02-16 09:00:00+07:00,0.415,0.415,0.41,0.415,12.0
2009-02-16 13:00:00+07:00,0.41,0.415,0.41,0.415,22.0
2009-02-17 09:00:00+07:00,0.41,0.41,0.41,0.41,18.0
2009-02-17 13:00:00+07:00,0.41,0.41,0.41,0.41,16.0
2009-02-18 09:00:00+07:00,0.41,0.42,0.41,0.415,40.0
2009-02-18 13:00:00+07:00,0.42,0.42,0.41,0.42,42.0
2009-02-19 09:00:00+07:00,0.42,0.42,0.41,0.41,24.0
2009-02-19 13:00:00+07:00,0.41,0.415,0.41,0.41,18.0
2009-02-20 09:00:00+07:00,0.41,0.41,0.41,0.41,10.0
2009-02-20 13:00:00+07:00,0.41,0.41,0.405,0.405,20.0
2009-02-23 09:00:00+07:00,0.41,0.41,0.4,0.41,42.0
2009-02-23 13:00:00+07:00,0.41,0.41,0.4,0.4,18.0
2009-02-24 09:00:00+07:00,0.4,0.405,0.39,0.4,86.0
2009-02-24 13:00:00+07:00,0.395,0.395,0.385,0.395,18.0
2009-02-25 09:00:00+07:00,0.395,0.395,0.395,0.395,16.0
2009-02-25 13:00:00+07:00,0.39,0.395,0.39,0.395,14.0
2009-02-26 09:00:00+07:00,0.395,0.425,0.39,0.4,234.0
2009-02-26 13:00:00+07:00,0.4,0.4,0.39,0.39,58.0
2009-02-27 09:00:00+07:00,0.39,0.39,0.37,0.375,96.0
2009-02-27 13:00:00+07:00,0.375,0.395,0.375,0.395,68.0
2009-03-02 09:00:00+07:00,0.39,0.39,0.385,0.385,20.0
2009-03-02 13:00:00+07:00,0.385,0.39,0.37,0.39,62.0
2009-03-03 09:00:00+07:00,0.385,0.39,0.37,0.375,74.0
2009-03-03 13:00:00+07:00,0.375,0.39,0.375,0.385,70.0
2009-03-04 09:00:00+07:00,0.385,0.41,0.385,0.4,220.0
2009-03-04 13:00:00+07:00,0.4,0.4,0.39,0.395,102.0
2009-03-05 09:00:00+07:00,0.395,0.41,0.395,0.405,100.0
