datetime,Open,High,Low,Close,Volume
2009-02-02 09:00:00+07:00,3.2,3.2,3.16,3.16,84.0
2009-02-02 13:00:00+07:00,3.14,3.16,3.1,3.1,182.0
2009-02-03 09:00:00+07:00,3.12,3.14,3.1,3.1,171.0
2009-02-03 13:00:00+07:00,3.08,3.1,3.06,3.1,168.0
2009-02-04 09:00:00+07:00,3.14,3.16,3.12,3.14,174.0
2009-02-04 13:00:00+07:00,3.16,3.16,3.1,3.1,93.0
2009-02-05 09:00:00+07:00,3.08,3.16,3.08,3.14,218.0
2009-02-05 13:00:00+07:00,3.12,3.16,3.12,3.16,145.0
2009-02-06 09:00:00+07:00,3.2,3.2,3.18,3.18,177.0
2009-02-06 13:00:00+07:00,3.18,3.22,3.18,3.18,187.0
2009-02-10 09:00:00+07:00,3.2,3.22,3.14,3.14,239.0
2009-02-10 13:00:00+07:00,3.14,3.18,3.14,3.16,166.0
2009-02-11 09:00:00+07:00,3.12,3.16,3.1,3.16,136.0
2009-02-11 13:00:00+07:00,3.16,3.18,3.14,3.14,123.0
2009-02-12 09:00:00+07:00,3.14,3.14,3.1,3.12,122.0
2009-02-12 13:00:00+07:00,3.12,3.14,3.08,3.08,163.0
2009-02-13 09:00:00+07:00,3.1,3.14,3.1,3.12,120.0
2009-02-13 13:00:00+07:00,3.12,3.14,3.1,3.12,85.0
2009-02-16 09:00:00+07:00,3.12,3.12,3.1,3.12,67.0
2009-02-16 13:00:00+07:00,3.12,3.14,3.1,3.14,89.0
2009-02-17 09:00:00+07:00,3.1,3.12,3.08,3.1,143.0
2009-02-17 13:00:00+07:00,3.1,3.1,3.06,3.06,161.0
2009-02-18 09:00:00+07:00,3.04,3.04,3.02,3.02,176.0
2009-02-18 13:00:00+07:00,3.04,3.06,3.02,3.02,235.0
2009-02-19 09:00:00+07:00,3.02,3.06,3.0,3.04,295.0
2009-02-19 13:00:00+07:00,3.04,3.06,3.0,3.02,200.0
2009-02-20 09:00:00+07:00,3.0,3.02,2.92,2.92,348.0
2009-02-20 13:00:00+07:00,2.92,2.94,2.86,2.88,479.0
2009-02-23 09:00:00+07:00,2.9,2.9,2.8,2.84,222.0
2009-02-23 13:00:00+07:00,2.84,2.86,2.82,2.84,116.0
2009-02-24 09:00:00+07:00,2.78,2.78,2.72,2.72,329.0
2009-02-24 13:00:00+07:00,2.72,2.8,2.72,2.8,283.0
2009-02-25 09:00:00+07:00,2.84,2.84,2.76,2.76,243.0
2009-02-25 13:00:00+07:00,2.78,2.82,2.76,2.78,204.0
2009-02-26 09:00:00+07:00,2.78,2.8,2.76,2.76,101.0
2009-02-26 13:00:00+07:00,2.76,2.78,2.72,2.74,162.0
2009-02-27 09:00:00+07:00,2.74,2.74,2.68,2.7,321.0
2009-02-27 13:00:00+07:00,2.7,2.7,2.68,2.7,240.0
2009-03-02 09:00:00+07:00,2.66,2.66,2.58,2.58,264.0
2009-03-02 13:00:00+07:00,2.58,2.58,2.5,2.58,575.0
2009-03-03 09:00:00+07:00,2.54,2.58,2.52,2.56,324.0
2009-03-03 13:00:00+07:00,2.56,2.56,2.52,2.56,285.0
2009-03-04 09:00:00+07:00,2.54,2.58,2.52,2.56,224.0
2009-03-04 13:00:00+07:00,2.58,2.68,2.58,2.68,412.0
2009-03-05 09:00:00+07:00,2.66,2.8,2.64,2.8,460.0
2009-03-05 13:00:00+07:00,2.78,2.78,2.68,2.74,334.0
2009-03-06 09:00:00+07:00,2.7,2.7,2.66,2.7,209.0
2009-03-06 13:00:00+07:00,2.68,2.7,2.68,2.7,115.0
2009-03-09 09:00:00+07:00,2.7,2.7,2.66,2.66,177.0
2009-03-09 13:00:00+07:00,2.66,2.66,2.6,2.62,207.0
2009-03-10 09:00:00+07:00,2.62,2.66,2.6,2.64,228.0
2009-03-10 13:00:00+07:00,2.66,2.68,2.62,2.68,66.0
2009-03-11 09:00:00+07:00,2.72,2.76,2.68,2.7,330.0
2009-03-11 13:00:00+07:00,2.7,2.7,2.62,2.62,221.0
2009-03-12 09:00:00+07:00,2.64,2.66,2.64,2.66,134.0
2009-03-12 13:00:00+07:00,2.66,2.68,2.64,2.68,66.0
2009-03-13 09:00:00+07:00,2.72,2.74,2.7,2.74,173.0
2009-03-13 13:00:00+07:00,2.74,2.8,2.72,2.8,169.0
2009-03-16 09:00:00+07:00,2.86,2.88,2.8,2.82,334.0
2009-03-16 13:00:00+07:00,2.82,2.86,2.82,2.86,161.0
2009-03-17 09:00:00+07:00,2.84,2.96,2.82,2.94,344.0
2009-03-17 13:00:00+07:00,2.92,2.98,2.86,2.86,395.0
2009-03-18 09:00:00+07:00,2.9,2.92,2.88,2.9,166.0
2009-03-18 13:00:00+07:00,2.9,2.92,2.86,2.88,184.0
2009-03-19 09:00:00+07:00,2.88,2.92,2.88,2.9,237.0
2009-03-19 13:00:00+07:00,2.9,2.9,2.86,2.86,110.0
2009-03-20 09:00:00+07:00,2.88,2.9,2.84,2.88,146.0
2009-03-20 13:00:00+07:00,2.86,2.9,2.8,2.9,201.0
2009-03-23 09:00:00+07:00,2.92,3.04,2.9,3.02,428.0
2009-03-23 13:00:00+07:00,3.04,3.1,3.02,3.08,294.0
2009-03-24 09:00:00+07:00,3.1,3.12,3.0,3.04,418.0
2009-03-24 13:00:00+07:00,3.04,3.08,3.0,3.0,230.0
2009-03-25 09:00:00+07:00,2.98,3.0,2.92,2.94,314.0
2009-03-25 13:00:00+07:00,2.94,3.0,2.9,2.96,277.0
2009-03-26 09:00:00+07:00,3.0,3.02,2.98,3.02,155.0
2009-03-26 13:00:00+07:00,3.02,3.06,3.0,3.02,338.0
2009-03-27 09:00:00+07:00,3.06,3.08,3.04,3.06,207.0
2009-03-27 13:00:00+07:00,3.06,3.08,3.04,3.06,115.0
2009-03-30 09:00:00+07:00,3.0,3.02,2.92,2.94,235.0
2009-03-30 13:00:00+07:00,2.92,2.94,2.86,2.94,186.0
2009-03-31 09:00:00+07:00,2.96,2.98,2.92,2.96,182.0
2009-03-31 13:00:00+07:00,2.96,3.0,2.96,2.98,135.0
2009-04-01 09:00:00+07:00,3.0,3.0,2.94,2.96,109.0
2009-04-01 13:00:00+07:00,2.94,3.02,2.94,3.0,212.0
2009-04-02 09:00:00+07:00,3.1,3.24,3.08,3.18,733.0
2009-04-02 13:00:00+07:00,3.2,3.34,3.2,3.3,593.0
2009-04-03 09:00:00+07:00,3.32,3.42,3.26,3.42,721.0
2009-04-03 13:00:00+07:00,3.4,3.56,3.38,3.54,612.0
2009-04-07 09:00:00+07:00,3.5,3.64,3.44,3.54,639.0
2009-04-07 13:00:00+07:00,3.56,3.64,3.46,3.48,683.0
2009-04-08 09:00:00+07:00,3.4,3.52,3.38,3.44,359.0
2009-04-08 13:00:00+07:00,3.44,3.5,3.44,3.5,175.0
2009-04-09 09:00:00+07:00,3.52,3.62,3.52,3.58,347.0
2009-04-09 13:00:00+07:00,3.56,3.58,3.48,3.5,258.0
2009-04-10 09:00:00+07:00,3.56,3.58,3.46,3.5,227.0
2009-04-10 13:00:00+07:00,3.5,3.58,3.5,3.56,318.0
2009-04-16 09:00:00+07:00,3.54,3.6,3.52,3.58,419.0
2009-04-16 13:00:00+07:00,3.56,3.58,3.48,3.54,323.0
2009-04-17 09:00:00+07:00,3.56,3.56,3.48,3.5,304.0
2009-04-17 13:00:00+07:00,3.5,3.54,3.5,3.5,181.0
2009-04-20 09:00:00+07:00,3.5,3.66,3.5,3.6,442.0
2009-04-20 13:00:00+07:00,3.62,3.62,3.52,3.58,306.0
2009-04-21 09:00:00+07:00,3.5,3.56,3.5,3.52,272.0
2009-04-21 13:00:00+07:00,3.54,3.58,3.5,3.5,275.0
2009-04-22 09:00:00+07:00,3.54,3.54,3.44,3.5,218.0
2009-04-22 13:00:00+07:00,3.48,3.48,3.4,3.42,271.0
2009-04-23 09:00:00+07:00,3.4,3.5,3.4,3.44,320.0
2009-04-23 13:00:00+07:00,3.46,3.6,3.46,3.6,480.0
2009-04-24 09:00:00+07:00,3.62,3.82,3.6,3.76,598.0
2009-04-24 13:00:00+07:00,3.78,3.82,3.74,3.76,304.0
2009-04-27 09:00:00+07:00,3.8,3.94,3.76,3.92,501.0
2009-04-27 13:00:00+07:00,3.94,3.98,3.84,3.84,348.0
2009-04-28 09:00:00+07:00,3.88,3.88,3.66,3.68,561.0
2009-04-28 13:00:00+07:00,3.64,3.74,3.64,3.7,525.0
2009-04-29 09:00:00+07:00,3.74,3.84,3.74,3.8,317.0
2009-04-29 13:00:00+07:00,3.8,3.9,3.8,3.86,300.0
2009-04-30 09:00:00+07:00,3.9,3.92,3.82,3.88,391.0
2009-04-30 13:00:00+07:00,3.88,3.9,3.82,3.84,334.0
2009-05-04 09:00:00+07:00,3.84,4.06,3.8,4.02,716.0
2009-05-04 13:00:00+07:00,4.02,4.22,4.02,4.12,509.0
2009-05-06 09:00:00+07:00,4.14,4.14,4.0,4.02,543.0
2009-05-06 13:00:00+07:00,4.04,4.24,4.02,4.24,644.0
2009-05-07 09:00:00+07:00,4.38,4.38,4.12,4.22,609.0
2009-05-07 13:00:00+07:00,4.22,4.28,4.2,4.26,330.0
2009-05-11 09:00:00+07:00,4.12,4.28,4.12,4.22,527.0
2009-05-11 13:00:00+07:00,4.2,4.22,4.16,4.16,428.0
2009-05-12 09:00:00+07:00,4.14,4.24,4.14,4.18,333.0
2009-05-12 13:00:00+07:00,4.18,4.32,4.18,4.24,482.0
2009-05-13 09:00:00+07:00,4.18,4.24,4.16,4.2,468.0
2009-05-13 13:00:00+07:00,4.18,4.28,4.18,4.2,281.0
2009-05-14 09:00:00+07:00,4.16,4.16,3.96,3.96,544.0
2009-05-14 13:00:00+07:00,3.96,4.02,3.9,3.9,297.0
2009-05-15 09:00:00+07:00,3.98,4.04,3.86,3.94,388.0
2009-05-15 13:00:00+07:00,3.94,3.98,3.88,3.96,292.0
2009-05-18 09:00:00+07:00,3.9,3.96,3.88,3.96,184.0
2009-05-18 13:00:00+07:00,3.98,4.0,3.9,3.98,515.0
2009-05-19 09:00:00+07:00,4.08,4.44,4.08,4.36,895.0
2009-05-19 13:00:00+07:00,4.36,4.5,4.36,4.4,416.0
2009-05-20 09:00:00+07:00,4.5,4.98,4.5,4.78,871.0
2009-05-20 13:00:00+07:00,4.8,4.84,4.68,4.72,491.0
2009-05-21 09:00:00+07:00,4.78,5.1,4.74,5.05,910.0
2009-05-21 13:00:00+07:00,5.1,5.2,4.98,5.05,751.0
2009-05-22 09:00:00+07:00,5.1,5.15,4.88,4.98,590.0
2009-05-22 13:00:00+07:00,4.98,5.35,4.98,5.25,708.0
2009-05-25 09:00:00+07:00,5.15,5.45,5.1,5.2,843.0
2009-05-25 13:00:00+07:00,5.25,5.3,4.96,4.96,419.0
2009-05-26 09:00:00+07:00,5.05,5.05,4.92,4.98,378.0
2009-05-26 13:00:00+07:00,4.94,4.96,4.74,4.74,502.0
2009-05-27 09:00:00+07:00,4.94,5.05,4.86,4.98,622.0
2009-05-27 13:00:00+07:00,5.05,5.15,5.0,5.1,309.0
2009-05-28 09:00:00+07:00,5.05,5.1,4.94,5.05,381.0
2009-05-28 13:00:00+07:00,5.05,5.05,4.98,5.05,247.0
2009-05-29 09:00:00+07:00,5.1,5.15,5.05,5.1,347.0
2009-05-29 13:00:00+07:00,5.1,5.2,5.1,5.1,351.0
2009-06-01 09:00:00+07:00,5.2,5.35,5.1,5.15,328.0
2009-06-01 13:00:00+07:00,5.2,5.35,5.15,5.35,255.0
2009-06-02 09:00:00+07:00,5.3,5.45,5.15,5.4,299.0
2009-06-02 13:00:00+07:00,5.2,5.25,4.98,5.15,541.0
2009-06-03 09:00:00+07:00,5.3,5.65,5.25,5.55,598.0
2009-06-03 13:00:00+07:00,5.6,5.8,5.45,5.65,672.0
2009-06-04 09:00:00+07:00,5.8,6.15,5.75,6.15,528.0
2009-06-04 13:00:00+07:00,6.05,6.1,6.0,6.05,318.0
2009-06-05 09:00:00+07:00,6.05,6.1,5.95,6.05,371.0
2009-06-05 13:00:00+07:00,6.0,6.2,6.0,6.15,254.0
2009-06-08 09:00:00+07:00,6.0,6.05,5.75,5.8,804.0
2009-06-08 13:00:00+07:00,5.75,5.85,5.5,5.7,736.0
2009-06-09 09:00:00+07:00,5.65,5.75,5.6,5.7,274.0
2009-06-09 13:00:00+07:00,5.75,5.8,5.7,5.8,198.0
2009-06-10 09:00:00+07:00,5.85,5.95,5.8,5.85,275.0
2009-06-10 13:00:00+07:00,5.9,5.95,5.85,5.9,282.0
2009-06-11 09:00:00+07:00,5.9,6.05,5.85,5.95,488.0
2009-06-11 13:00:00+07:00,5.9,5.95,5.75,5.8,317.0
2009-06-12 09:00:00+07:00,5.9,6.0,5.75,5.9,401.0
2009-06-12 13:00:00+07:00,5.85,5.9,5.65,5.7,340.0
2009-06-15 09:00:00+07:00,5.65,5.85,5.55,5.6,227.0
2009-06-15 13:00:00+07:00,5.55,5.55,5.25,5.45,542.0
2009-06-16 09:00:00+07:00,5.3,5.35,5.15,5.2,362.0
2009-06-16 13:00:00+07:00,5.3,5.3,5.05,5.15,347.0
2009-06-17 09:00:00+07:00,5.0,5.1,4.96,5.05,588.0
2009-06-17 13:00:00+07:00,5.1,5.1,4.9,4.9,554.0
2009-06-18 09:00:00+07:00,4.92,4.94,4.74,4.76,567.0
2009-06-18 13:00:00+07:00,4.8,4.82,4.7,4.72,473.0
2009-06-19 09:00:00+07:00,4.76,5.05,4.76,5.0,589.0
2009-06-19 13:00:00+07:00,5.05,5.2,5.0,5.15,378.0
2009-06-22 09:00:00+07:00,5.15,5.35,5.05,5.25,582.0
2009-06-22 13:00:00+07:00,5.2,5.25,5.1,5.1,128.0
2009-06-23 09:00:00+07:00,4.96,5.05,4.9,4.94,308.0
2009-06-23 13:00:00+07:00,4.92,4.98,4.88,4.98,265.0
2009-06-24 09:00:00+07:00,4.96,5.1,4.94,4.96,262.0
2009-06-24 13:00:00+07:00,5.0,5.05,4.92,5.0,366.0
2009-06-25 09:00:00+07:00,5.1,5.3,5.0,5.2,468.0
2009-06-25 13:00:00+07:00,5.25,5.3,5.15,5.2,241.0
2009-06-26 09:00:00+07:00,5.3,5.4,5.25,5.35,403.0
2009-06-26 13:00:00+07:00,5.35,5.45,5.25,5.25,272.0
2009-06-29 09:00:00+07:00,5.25,5.35,5.15,5.15,201.0
2009-06-29 13:00:00+07:00,5.2,5.25,5.15,5.25,222.0
2009-06-30 09:00:00+07:00,5.35,5.35,5.1,5.15,348.0
2009-06-30 13:00:00+07:00,5.15,5.2,5.0,5.1,417.0
2009-07-02 09:00:00+07:00,5.1,5.1,4.9,4.92,592.0
2009-07-02 13:00:00+07:00,4.92,4.92,4.8,4.8,481.0
2009-07-03 09:00:00+07:00,4.74,4.88,4.74,4.82,395.0
2009-07-03 13:00:00+07:00,4.84,4.88,4.74,4.78,366.0
2009-07-08 09:00:00+07:00,4.7,4.7,4.6,4.66,270.0
2009-07-08 13:00:00+07:00,4.66,4.7,4.62,4.7,208.0
2009-07-09 09:00:00+07:00,4.7,4.86,4.66,4.82,397.0
2009-07-09 13:00:00+07:00,4.84,4.94,4.84,4.92,322.0
2009-07-10 09:00:00+07:00,4.88,4.88,4.74,4.78,501.0
2009-07-10 13:00:00+07:00,4.76,4.78,4.62,4.62,502.0
2009-07-13 09:00:00+07:00,4.56,4.6,4.44,4.44,497.0
2009-07-13 13:00:00+07:00,4.4,4.44,4.38,4.42,441.0
2009-07-14 09:00:00+07:00,4.54,4.62,4.54,4.6,433.0
2009-07-14 13:00:00+07:00,4.62,4.72,4.62,4.7,391.0
2009-07-15 09:00:00+07:00,4.78,4.84,4.78,4.8,421.0
2009-07-15 13:00:00+07:00,4.8,4.9,4.8,4.88,355.0
2009-07-16 09:00:00+07:00,5.05,5.1,5.0,5.05,586.0
2009-07-16 13:00:00+07:00,5.05,5.15,5.0,5.05,450.0
2009-07-17 09:00:00+07:00,5.15,5.35,5.15,5.3,511.0
2009-07-17 13:00:00+07:00,5.3,5.5,5.3,5.4,388.0
2009-07-20 09:00:00+07:00,5.45,5.5,5.35,5.4,299.0
2009-07-20 13:00:00+07:00,5.45,5.5,5.4,5.5,214.0
2009-07-21 09:00:00+07:00,5.45,5.6,5.4,5.45,322.0
2009-07-21 13:00:00+07:00,5.45,5.5,5.25,5.35,244.0
2009-07-22 09:00:00+07:00,5.4,5.6,5.35,5.55,401.0
2009-07-22 13:00:00+07:00,5.45,5.45,5.15,5.15,383.0
2009-07-23 09:00:00+07:00,5.3,5.35,5.25,5.3,220.0
2009-07-23 13:00:00+07:00,5.3,5.35,5.2,5.35,176.0
2009-07-24 09:00:00+07:00,5.45,5.45,5.3,5.4,180.0
2009-07-24 13:00:00+07:00,5.35,5.45,5.35,5.35,140.0
2009-07-27 09:00:00+07:00,5.5,5.6,5.45,5.55,276.0
2009-07-27 13:00:00+07:00,5.55,5.55,5.4,5.4,199.0
2009-07-28 09:00:00+07:00,5.4,5.5,5.35,5.4,182.0
2009-07-28 13:00:00+07:00,5.4,5.5,5.35,5.4,240.0
2009-07-29 09:00:00+07:00,5.35,5.4,5.2,5.3,261.0
2009-07-29 13:00:00+07:00,5.15,5.25,5.15,5.2,375.0
2009-07-30 09:00:00+07:00,5.2,5.2,5.05,5.1,696.0
2009-07-30 13:00:00+07:00,5.15,5.25,5.1,5.25,672.0
2009-07-31 09:00:00+07:00,5.4,5.4,5.1,5.1,815.0
2009-07-31 13:00:00+07:00,5.15,5.2,5.1,5.15,365.0
2009-08-03 09:00:00+07:00,5.2,5.4,5.2,5.35,773.0
2009-08-03 13:00:00+07:00,5.35,5.6,5.35,5.6,642.0
2009-08-04 09:00:00+07:00,5.75,5.9,5.7,5.8,845.0
2009-08-04 13:00:00+07:00,5.85,6.0,5.8,5.9,618.0
2009-08-05 09:00:00+07:00,5.95,6.0,5.6,5.65,516.0
2009-08-05 13:00:00+07:00,5.6,5.8,5.6,5.75,380.0
2009-08-06 09:00:00+07:00,5.7,5.95,5.7,5.9,490.0
2009-08-06 13:00:00+07:00,5.95,5.95,5.85,5.9,192.0
2009-08-07 09:00:00+07:00,5.8,5.85,5.7,5.8,309.0
2009-08-07 13:00:00+07:00,5.75,5.8,5.7,5.8,253.0
2009-08-10 09:00:00+07:00,5.9,6.0,5.8,5.9,334.0
2009-08-10 13:00:00+07:00,5.9,5.95,5.75,5.75,192.0
2009-08-11 09:00:00+07:00,5.8,5.85,5.7,5.8,210.0
2009-08-11 13:00:00+07:00,5.8,5.9,5.8,5.9,149.0
2009-08-13 09:00:00+07:00,6.0,6.05,5.9,6.0,320.0
2009-08-13 13:00:00+07:00,6.0,6.15,6.0,6.15,276.0
2009-08-14 09:00:00+07:00,6.1,6.15,6.05,6.1,393.0
2009-08-14 13:00:00+07:00,6.1,6.45,6.1,6.4,572.0
2009-08-17 09:00:00+07:00,6.2,6.25,6.05,6.1,361.0
2009-08-17 13:00:00+07:00,6.05,6.05,5.9,5.95,468.0
2009-08-18 09:00:00+07:00,6.0,6.05,5.85,5.95,296.0
2009-08-18 13:00:00+07:00,6.0,6.15,6.0,6.15,229.0
2009-08-19 09:00:00+07:00,6.15,6.25,6.1,6.15,269.0
2009-08-19 13:00:00+07:00,6.0,6.1,5.95,6.0,214.0
2009-08-20 09:00:00+07:00,6.15,6.35,6.1,6.3,252.0
2009-08-20 13:00:00+07:00,6.3,6.35,6.25,6.25,230.0
2009-08-21 09:00:00+07:00,6.2,6.25,6.1,6.15,242.0
2009-08-21 13:00:00+07:00,6.2,6.3,6.2,6.3,293.0
2009-08-24 09:00:00+07:00,6.45,6.65,6.4,6.55,356.0
2009-08-24 13:00:00+07:00,6.55,6.6,6.5,6.6,215.0
2009-08-25 09:00:00+07:00,6.4,6.6,6.4,6.5,197.0
2009-08-25 13:00:00+07:00,6.5,6.6,6.45,6.5,131.0
2009-08-26 09:00:00+07:00,6.55,6.65,6.4,6.6,269.0
2009-08-26 13:00:00+07:00,6.6,6.65,6.45,6.55,216.0
2009-08-27 09:00:00+07:00,6.5,6.6,6.4,6.45,248.0
2009-08-27 13:00:00+07:00,6.45,6.45,6.05,6.15,557.0
2009-08-28 09:00:00+07:00,6.05,6.2,6.0,6.05,261.0
2009-08-28 13:00:00+07:00,6.05,6.05,5.95,6.05,491.0
2009-08-31 09:00:00+07:00,5.95,6.0,5.9,6.0,219.0
2009-08-31 13:00:00+07:00,5.95,6.0,5.9,6.0,233.0
2009-09-01 09:00:00+07:00,6.0,6.2,6.0,6.15,211.0
2009-09-01 13:00:00+07:00,6.15,6.2,6.1,6.1,271.0
2009-09-02 09:00:00+07:00,6.0,6.05,5.95,6.0,79.0
2009-09-02 13:00:00+07:00,6.0,6.05,6.0,6.0,163.0
2009-09-03 09:00:00+07:00,6.05,6.25,6.05,6.25,328.0
2009-09-03 13:00:00+07:00,6.25,6.3,6.2,6.3,135.0
2009-09-04 09:00:00+07:00,6.35,6.4,6.2,6.25,195.0
2009-09-04 13:00:00+07:00,6.3,6.35,6.25,6.25,168.0
2009-09-07 09:00:00+07:00,6.3,6.4,6.25,6.35,162.0
2009-09-07 13:00:00+07:00,6.35,6.45,6.3,6.35,257.0
2009-09-08 09:00:00+07:00,6.45,6.5,6.3,6.35,237.0
2009-09-08 13:00:00+07:00,6.4,6.4,6.3,6.35,148.0
2009-09-09 09:00:00+07:00,6.35,6.4,6.2,6.25,204.0
2009-09-09 13:00:00+07:00,6.3,6.3,6.2,6.2,156.0
2009-09-10 09:00:00+07:00,6.35,6.45,6.25,6.35,214.0
2009-09-10 13:00:00+07:00,6.35,6.4,6.25,6.3,197.0
2009-09-11 09:00:00+07:00,6.35,6.5,6.35,6.35,291.0
2009-09-11 13:00:00+07:00,6.4,6.45,6.3,6.35,221.0
2009-09-14 09:00:00+07:00,6.3,6.4,6.3,6.3,145.0
2009-09-14 13:00:00+07:00,6.3,6.3,6.05,6.1,365.0
2009-09-15 09:00:00+07:00,6.2,6.2,6.1,6.15,346.0
2009-09-15 13:00:00+07:00,6.15,6.25,6.1,6.2,211.0
2009-09-16 09:00:00+07:00,6.3,6.45,6.3,6.4,400.0
2009-09-16 13:00:00+07:00,6.4,6.4,6.35,6.35,181.0
2009-09-17 09:00:00+07:00,6.45,6.5,6.4,6.45,291.0
2009-09-17 13:00:00+07:00,6.45,6.45,6.3,6.3,251.0
