datetime,Open,High,Low,Close,Volume
2014-11-26 09:00:00+07:00,9.5,9.9,8.6,9.55,639422800.0
2014-11-26 13:00:00+07:00,9.6,11.9,9.5,11.9,564702900.0
2014-11-27 09:00:00+07:00,11.6,12.7,11.3,12.6,423894100.0
2014-11-27 13:00:00+07:00,12.7,12.8,11.9,12.0,248565400.0
2014-11-28 09:00:00+07:00,12.2,12.6,12.1,12.3,121259500.0
2014-11-28 13:00:00+07:00,12.2,12.4,11.7,11.7,112653800.0
2014-12-01 09:00:00+07:00,12.0,12.3,11.9,12.1,87737800.0
2014-12-01 13:00:00+07:00,12.0,12.1,11.8,11.9,45654200.0
2014-12-02 09:00:00+07:00,12.0,12.1,11.8,11.8,44519000.0
2014-12-02 13:00:00+07:00,11.8,11.9,11.4,11.5,35523400.0
2014-12-03 09:00:00+07:00,11.6,11.7,11.4,11.6,33249500.0
2014-12-03 13:00:00+07:00,11.6,12.1,11.4,12.0,65982700.0
2014-12-04 09:00:00+07:00,12.0,12.1,11.6,11.8,43283800.0
2014-12-04 13:00:00+07:00,11.8,11.9,11.6,11.6,24211600.0
2014-12-08 09:00:00+07:00,11.5,11.9,11.0,11.8,19714000.0
2014-12-08 13:00:00+07:00,11.9,12.0,11.6,11.7,29421900.0
2014-12-09 09:00:00+07:00,11.8,12.2,11.6,12.1,24562600.0
2014-12-09 13:00:00+07:00,12.0,12.2,11.8,12.0,26971900.0
2014-12-11 09:00:00+07:00,11.9,12.1,11.7,11.9,25295000.0
2014-12-11 13:00:00+07:00,11.8,11.9,11.2,11.8,23343200.0
2014-12-12 09:00:00+07:00,11.9,12.0,11.4,11.7,12734800.0
2014-12-12 13:00:00+07:00,11.7,12.6,11.6,12.4,70870300.0
2014-12-15 09:00:00+07:00,12.0,12.2,11.6,11.8,30998100.0
2014-12-15 13:00:00+07:00,11.7,11.7,9.0,11.6,42771200.0
2014-12-16 09:00:00+07:00,11.3,11.7,10.8,11.7,17940700.0
2014-12-16 13:00:00+07:00,11.7,12.0,11.6,11.8,19831200.0
2014-12-17 09:00:00+07:00,11.8,11.9,11.6,11.9,8312500.0
2014-12-17 13:00:00+07:00,11.8,11.9,11.7,11.7,10782200.0
2014-12-18 09:00:00+07:00,11.9,12.0,11.7,11.9,11108100.0
2014-12-18 13:00:00+07:00,11.9,12.2,11.8,12.1,19906100.0
2014-12-19 09:00:00+07:00,12.1,12.2,11.8,11.9,10142800.0
2014-12-19 13:00:00+07:00,11.9,11.9,11.8,11.9,4408800.0
2014-12-22 09:00:00+07:00,11.9,12.0,11.8,11.9,2407400.0
2014-12-22 13:00:00+07:00,11.9,12.9,11.9,12.6,47564400.0
2014-12-23 09:00:00+07:00,12.7,12.8,12.4,12.5,13599600.0
2014-12-23 13:00:00+07:00,12.4,12.8,12.3,12.6,9323900.0
2014-12-24 09:00:00+07:00,12.6,12.7,12.4,12.5,7562500.0
2014-12-24 13:00:00+07:00,12.5,12.6,12.0,12.4,13328200.0
2014-12-25 09:00:00+07:00,12.3,12.3,12.0,12.1,4318700.0
2014-12-25 13:00:00+07:00,12.1,12.2,11.8,11.9,9048600.0
2014-12-26 09:00:00+07:00,12.0,12.1,11.9,12.0,1601200.0
2014-12-26 13:00:00+07:00,11.9,12.2,11.9,12.1,2061600.0
2014-12-29 09:00:00+07:00,12.0,12.1,11.9,12.0,1013000.0
2014-12-29 13:00:00+07:00,12.0,12.1,11.9,12.0,2270000.0
2014-12-30 09:00:00+07:00,12.0,12.0,11.7,11.9,3086800.0
2014-12-30 13:00:00+07:00,11.9,12.3,11.8,12.2,4562900.0
2015-01-05 09:00:00+07:00,12.2,12.2,12.0,12.1,905000.0
2015-01-05 13:00:00+07:00,12.2,12.2,12.0,12.0,1185700.0
2015-01-06 09:00:00+07:00,11.9,12.5,11.9,12.4,10379400.0
2015-01-06 13:00:00+07:00,12.4,12.5,12.3,12.4,7077800.0
2015-01-07 09:00:00+07:00,12.4,12.7,12.3,12.4,5951200.0
2015-01-07 13:00:00+07:00,12.4,12.5,12.3,12.5,4975600.0
2015-01-08 09:00:00+07:00,12.5,12.7,12.5,12.5,5361100.0
2015-01-08 13:00:00+07:00,12.5,12.6,12.5,12.6,6392200.0
2015-01-09 09:00:00+07:00,12.7,13.5,12.7,13.5,47654900.0
2015-01-09 13:00:00+07:00,13.4,14.0,13.3,14.0,34915600.0
2015-01-12 09:00:00+07:00,13.9,14.2,13.6,13.9,24758300.0
2015-01-12 13:00:00+07:00,13.9,14.1,13.8,14.0,10453200.0
2015-01-13 09:00:00+07:00,13.9,14.3,13.7,14.2,14719300.0
2015-01-13 13:00:00+07:00,14.2,14.3,13.9,14.3,11006700.0
2015-01-14 09:00:00+07:00,14.4,14.5,14.2,14.3,10180800.0
2015-01-14 13:00:00+07:00,14.3,14.3,13.9,14.0,19320400.0
2015-01-15 09:00:00+07:00,14.1,14.2,13.9,14.0,6478200.0
2015-01-15 13:00:00+07:00,14.0,15.2,14.0,14.9,45399500.0
2015-01-16 09:00:00+07:00,14.7,15.0,14.6,14.8,18139600.0
2015-01-16 13:00:00+07:00,14.7,14.9,14.6,14.9,9670500.0
2015-01-19 09:00:00+07:00,14.9,15.0,14.2,14.5,20326000.0
2015-01-19 13:00:00+07:00,14.4,14.7,14.4,14.7,4637400.0
2015-01-20 09:00:00+07:00,14.7,14.9,14.4,14.7,8905100.0
2015-01-20 13:00:00+07:00,14.6,14.7,14.5,14.6,4307800.0
2015-01-21 09:00:00+07:00,14.8,15.3,14.8,15.0,22052500.0
2015-01-21 13:00:00+07:00,15.0,15.1,14.8,15.0,10265700.0
2015-01-22 09:00:00+07:00,15.2,16.0,15.0,15.7,29635600.0
2015-01-22 13:00:00+07:00,15.8,15.9,15.6,15.9,11188900.0
2015-01-23 09:00:00+07:00,15.9,16.4,15.9,16.0,16996800.0
2015-01-23 13:00:00+07:00,16.0,16.1,15.9,16.0,10095700.0
2015-01-26 09:00:00+07:00,16.1,16.5,15.9,16.3,13051900.0
2015-01-26 13:00:00+07:00,16.4,16.8,16.3,16.7,19313000.0
2015-01-27 09:00:00+07:00,16.8,17.8,16.7,17.7,22436900.0
2015-01-27 13:00:00+07:00,17.7,18.3,17.6,17.9,29220000.0
2015-01-28 09:00:00+07:00,18.1,18.4,17.9,17.9,14820700.0
2015-01-28 13:00:00+07:00,18.0,18.1,17.2,18.1,23740000.0
2015-01-29 09:00:00+07:00,17.9,18.0,17.7,17.8,6924200.0
2015-01-29 13:00:00+07:00,17.8,18.0,17.7,18.0,5527900.0
2015-01-30 09:00:00+07:00,18.0,18.1,17.8,17.9,3664200.0
2015-01-30 13:00:00+07:00,17.9,18.4,17.9,18.3,14944500.0
2015-02-02 09:00:00+07:00,18.1,18.3,18.0,18.1,4869900.0
2015-02-02 13:00:00+07:00,18.1,19.1,18.0,19.1,19858200.0
2015-02-03 09:00:00+07:00,19.1,19.1,18.8,18.9,8308600.0
2015-02-03 13:00:00+07:00,19.0,19.1,18.8,19.0,7918200.0
2015-02-04 09:00:00+07:00,19.1,19.7,19.1,19.4,14087700.0
2015-02-04 13:00:00+07:00,19.4,19.5,19.1,19.4,9096000.0
2015-02-05 09:00:00+07:00,19.4,19.5,19.2,19.3,4247500.0
2015-02-05 13:00:00+07:00,19.3,19.6,19.2,19.5,9259600.0
2015-02-06 09:00:00+07:00,19.6,19.7,19.3,19.6,4362800.0
2015-02-06 13:00:00+07:00,19.7,20.0,19.6,19.9,10706300.0
2015-02-09 09:00:00+07:00,20.0,20.1,19.5,19.6,21139200.0
2015-02-09 13:00:00+07:00,19.7,19.8,19.5,19.5,14157500.0
2015-02-10 09:00:00+07:00,19.2,19.4,18.7,19.0,25291000.0
2015-02-10 13:00:00+07:00,19.0,19.1,18.0,18.3,35632200.0
2015-02-11 09:00:00+07:00,18.4,19.0,18.4,18.5,26983000.0
2015-02-11 13:00:00+07:00,18.6,19.1,18.3,18.8,21303500.0
2015-02-12 09:00:00+07:00,18.9,19.2,18.8,18.9,10647900.0
2015-02-12 13:00:00+07:00,19.0,19.1,18.9,18.9,6765900.0
2015-02-13 09:00:00+07:00,19.1,19.1,18.8,18.9,5246400.0
