datetime,Open,High,Low,Close,Volume
2009-02-02 09:00:00+07:00,15.9,16.0,15.5,15.6,5770.0
2009-02-02 13:00:00+07:00,15.5,15.6,15.4,15.4,5430.0
2009-02-03 09:00:00+07:00,15.4,15.6,15.4,15.5,4780.0
2009-02-03 13:00:00+07:00,15.4,15.5,15.3,15.5,2620.0
2009-02-04 09:00:00+07:00,15.6,15.7,15.4,15.5,3030.0
2009-02-04 13:00:00+07:00,15.6,15.6,15.4,15.4,2530.0
2009-02-05 09:00:00+07:00,15.5,15.7,15.4,15.6,2580.0
2009-02-05 13:00:00+07:00,15.6,15.6,15.5,15.5,1230.0
2009-02-06 09:00:00+07:00,15.6,16.1,15.6,15.9,4830.0
2009-02-06 13:00:00+07:00,16.1,16.7,16.1,16.5,10590.0
2009-02-10 09:00:00+07:00,16.5,16.6,16.1,16.2,6000.0
2009-02-10 13:00:00+07:00,16.2,16.4,16.2,16.3,2060.0
2009-02-11 09:00:00+07:00,16.0,16.1,15.9,16.1,4670.0
2009-02-11 13:00:00+07:00,16.0,16.4,16.0,16.3,3700.0
2009-02-12 09:00:00+07:00,16.1,16.2,15.9,16.0,3500.0
2009-02-12 13:00:00+07:00,16.0,16.1,15.9,16.0,2280.0
2009-02-13 09:00:00+07:00,16.2,16.4,16.1,16.4,3020.0
2009-02-13 13:00:00+07:00,16.3,16.5,16.3,16.4,3410.0
2009-02-16 09:00:00+07:00,16.5,16.5,16.1,16.2,2640.0
2009-02-16 13:00:00+07:00,16.2,16.4,16.2,16.3,2460.0
2009-02-17 09:00:00+07:00,16.1,16.2,15.9,16.0,4740.0
2009-02-17 13:00:00+07:00,15.9,16.0,15.7,15.9,4360.0
2009-02-18 09:00:00+07:00,15.7,15.9,15.7,15.8,2960.0
2009-02-18 13:00:00+07:00,15.8,16.0,15.8,15.9,3500.0
2009-02-19 09:00:00+07:00,15.9,16.0,15.8,15.9,2650.0
2009-02-19 13:00:00+07:00,15.8,16.0,15.8,15.9,1970.0
2009-02-20 09:00:00+07:00,15.8,16.0,15.7,15.8,3420.0
2009-02-20 13:00:00+07:00,15.8,15.8,15.6,15.6,3050.0
2009-02-23 09:00:00+07:00,15.5,15.7,15.4,15.7,2970.0
2009-02-23 13:00:00+07:00,15.6,15.9,15.6,15.7,2000.0
2009-02-24 09:00:00+07:00,15.4,15.5,15.3,15.5,4220.0
2009-02-24 13:00:00+07:00,15.5,15.6,15.4,15.6,1990.0
2009-02-25 09:00:00+07:00,15.7,15.8,15.7,15.8,2610.0
2009-02-25 13:00:00+07:00,15.7,16.0,15.7,15.8,2830.0
2009-02-26 09:00:00+07:00,15.8,16.0,15.8,15.8,2680.0
2009-02-26 13:00:00+07:00,15.8,15.8,15.4,15.5,4470.0
2009-02-27 09:00:00+07:00,15.6,15.7,15.4,15.6,2850.0
2009-02-27 13:00:00+07:00,15.5,15.7,15.5,15.6,1990.0
2009-03-02 09:00:00+07:00,15.4,15.5,15.2,15.3,3250.0
2009-03-02 13:00:00+07:00,15.2,15.2,15.1,15.1,4320.0
2009-03-03 09:00:00+07:00,14.8,15.1,14.7,15.0,5870.0
2009-03-03 13:00:00+07:00,14.9,15.0,14.8,15.0,2220.0
2009-03-04 09:00:00+07:00,14.9,15.0,14.8,14.9,3550.0
2009-03-04 13:00:00+07:00,15.0,15.1,14.9,15.0,5560.0
2009-03-05 09:00:00+07:00,14.8,15.0,14.7,14.9,5560.0
2009-03-05 13:00:00+07:00,14.8,14.9,14.5,14.5,7780.0
2009-03-06 09:00:00+07:00,14.3,14.5,14.2,14.4,4970.0
2009-03-06 13:00:00+07:00,14.4,14.6,14.4,14.6,2860.0
2009-03-09 09:00:00+07:00,14.4,14.6,14.3,14.4,2990.0
2009-03-09 13:00:00+07:00,14.3,14.4,14.1,14.1,3840.0
2009-03-10 09:00:00+07:00,14.3,14.4,14.2,14.4,3570.0
2009-03-10 13:00:00+07:00,14.4,14.6,14.4,14.6,3530.0
2009-03-11 09:00:00+07:00,14.8,14.9,14.6,14.7,5800.0
2009-03-11 13:00:00+07:00,14.6,14.6,14.4,14.4,3940.0
2009-03-12 09:00:00+07:00,14.4,14.5,14.3,14.4,1970.0
2009-03-12 13:00:00+07:00,14.4,14.5,14.3,14.4,1580.0
2009-03-13 09:00:00+07:00,14.7,15.2,14.7,15.2,6610.0
2009-03-13 13:00:00+07:00,15.2,15.2,14.9,15.0,5000.0
2009-03-16 09:00:00+07:00,14.9,14.9,14.7,14.7,2980.0
2009-03-16 13:00:00+07:00,14.8,14.9,14.8,14.9,1810.0
2009-03-17 09:00:00+07:00,14.9,15.1,14.9,15.1,3260.0
2009-03-17 13:00:00+07:00,15.1,15.2,14.7,14.7,3910.0
2009-03-18 09:00:00+07:00,14.9,14.9,14.7,14.8,2460.0
2009-03-18 13:00:00+07:00,14.8,14.9,14.8,14.8,960.0
2009-03-19 09:00:00+07:00,14.8,15.3,14.8,15.1,6070.0
2009-03-19 13:00:00+07:00,15.1,15.1,14.9,14.9,2500.0
2009-03-20 09:00:00+07:00,15.2,15.3,15.1,15.2,4710.0
2009-03-20 13:00:00+07:00,15.1,15.2,15.0,15.1,2510.0
2009-03-23 09:00:00+07:00,15.3,15.7,15.2,15.7,7830.0
2009-03-23 13:00:00+07:00,15.8,16.1,15.7,16.0,9710.0
2009-03-24 09:00:00+07:00,16.2,16.3,15.8,16.0,9880.0
2009-03-24 13:00:00+07:00,16.1,16.2,16.0,16.1,7100.0
2009-03-25 09:00:00+07:00,16.0,16.1,16.0,16.0,4650.0
2009-03-25 13:00:00+07:00,15.9,16.0,15.8,16.0,3640.0
2009-03-26 09:00:00+07:00,16.0,16.1,15.9,16.1,4070.0
2009-03-26 13:00:00+07:00,16.1,16.4,16.1,16.1,5360.0
2009-03-27 09:00:00+07:00,16.2,16.3,16.0,16.0,3460.0
2009-03-27 13:00:00+07:00,16.0,16.1,15.9,16.0,2220.0
2009-03-30 09:00:00+07:00,15.7,15.75,15.3,15.3,9370.0
2009-03-30 13:00:00+07:00,15.2,15.3,15.1,15.2,10950.0
2009-03-31 09:00:00+07:00,15.3,15.35,15.2,15.25,5740.0
2009-03-31 13:00:00+07:00,15.3,15.4,15.25,15.25,4400.0
2009-04-01 09:00:00+07:00,15.35,15.35,15.2,15.25,3060.0
2009-04-01 13:00:00+07:00,15.25,15.25,15.1,15.15,3290.0
2009-04-02 09:00:00+07:00,15.35,15.7,15.3,15.7,6210.0
2009-04-02 13:00:00+07:00,15.75,15.9,15.65,15.8,6100.0
2009-04-03 09:00:00+07:00,15.95,16.2,15.8,16.15,9170.0
2009-04-03 13:00:00+07:00,16.15,16.2,16.05,16.2,6240.0
2009-04-07 09:00:00+07:00,16.15,16.15,15.9,16.1,5540.0
2009-04-07 13:00:00+07:00,16.1,16.4,16.0,16.0,7900.0
2009-04-08 09:00:00+07:00,15.8,15.95,15.8,15.9,2840.0
2009-04-08 13:00:00+07:00,15.85,16.0,15.8,16.0,3080.0
2009-04-09 09:00:00+07:00,16.05,16.45,16.05,16.25,6640.0
2009-04-09 13:00:00+07:00,16.25,16.25,16.0,16.1,6290.0
2009-04-10 09:00:00+07:00,16.3,16.4,16.05,16.2,3960.0
2009-04-10 13:00:00+07:00,16.2,16.6,16.15,16.55,7050.0
2009-04-16 09:00:00+07:00,16.4,16.6,16.25,16.3,16690.0
2009-04-16 13:00:00+07:00,16.3,16.3,16.05,16.3,12490.0
2009-04-17 09:00:00+07:00,16.5,16.85,16.45,16.5,13380.0
